model_name,n_folds,n_collapsed_single_class,collapsed_fraction,single_class_prediction_counts
CSP_LDA,250,6,0.024,"{0: 2, 1: 4}"
FBCSP_SVM,250,8,0.032,"{0: 6, 1: 2}"
