method_name,subject_id,mean_accuracy,std_accuracy,mean_balanced_accuracy,mean_roc_auc,n_folds,mean_accuracy_percent
CSP_LDA,1,0.5,0.08838834764831843,0.5,0.4125,5,50.0
CSP_LDA,10,0.475,0.16298006013006622,0.475,0.5625,5,47.5
CSP_LDA,11,0.4,0.270993542358485,0.4,0.4,5,40.0
CSP_LDA,12,0.65,0.18540496217739158,0.65,0.6875,5,65.0
CSP_LDA,13,0.575,0.14252192813739223,0.575,0.575,5,57.49999999999999
CSP_LDA,14,0.45,0.14252192813739223,0.45,0.425,5,45.0
CSP_LDA,15,0.375,0.23385358667337136,0.375,0.3875,5,37.5
CSP_LDA,16,0.45,0.14252192813739226,0.45,0.4125,5,45.0
CSP_LDA,17,0.675,0.20916500663351892,0.675,0.625,5,67.5
CSP_LDA,18,0.55,0.18957188610128875,0.55,0.45,5,55.00000000000001
CSP_LDA,19,0.375,0.08838834764831845,0.375,0.325,5,37.5
CSP_LDA,2,0.5,0.15309310892394862,0.5,0.4875,5,50.0
CSP_LDA,20,0.7,0.06846531968814575,0.7,0.725,5,70.0
CSP_LDA,21,0.45,0.27386127875258304,0.45,0.375,5,45.0
CSP_LDA,22,0.8,0.06846531968814576,0.8,0.9,5,80.0
CSP_LDA,23,0.9,0.10458250331675945,0.9,0.9125,5,90.0
CSP_LDA,24,0.5,0.08838834764831845,0.5,0.575,5,50.0
CSP_LDA,25,0.475,0.16298006013006622,0.475,0.475,5,47.5
CSP_LDA,26,0.525,0.24044230077089182,0.525,0.5625,5,52.5
CSP_LDA,27,0.425,0.06846531968814577,0.425,0.3375,5,42.5
CSP_LDA,28,0.675,0.06846531968814577,0.675,0.8,5,67.5
CSP_LDA,29,0.425,0.14252192813739223,0.425,0.5125,5,42.5
CSP_LDA,3,0.425,0.06846531968814576,0.425,0.4,5,42.5
CSP_LDA,30,0.55,0.2592055169165965,0.55,0.65,5,55.00000000000001
CSP_LDA,31,0.45,0.06846531968814576,0.45,0.4125,5,45.0
CSP_LDA,32,0.5,0.19764235376052372,0.5,0.5,5,50.0
CSP_LDA,33,0.45,0.14252192813739226,0.45,0.3625,5,45.0
CSP_LDA,34,0.5,0.15309310892394862,0.5,0.475,5,50.0
CSP_LDA,35,0.35,0.13693063937629152,0.35,0.2125,5,35.0
CSP_LDA,36,0.35,0.10458250331675945,0.35,0.35,5,35.0
CSP_LDA,37,0.675,0.06846531968814577,0.675,0.8,5,67.5
CSP_LDA,38,0.4,0.10458250331675945,0.4,0.325,5,40.0
CSP_LDA,39,0.6,0.10458250331675945,0.6,0.5875,5,60.0
CSP_LDA,4,0.375,0.125,0.375,0.275,5,37.5
CSP_LDA,40,0.75,0.23385358667337136,0.75,0.75,5,75.0
CSP_LDA,41,0.425,0.27386127875258304,0.425,0.475,5,42.5
CSP_LDA,42,0.625,0.1767766952966369,0.625,0.675,5,62.5
CSP_LDA,43,0.475,0.10458250331675943,0.475,0.5875,5,47.5
CSP_LDA,44,0.6,0.2053959590644373,0.6,0.625,5,60.0
CSP_LDA,45,0.575,0.18957188610128875,0.575,0.625,5,57.49999999999999
CSP_LDA,46,0.45,0.25920551691659655,0.45,0.3625,5,45.0
CSP_LDA,47,0.4,0.2404423007708918,0.4,0.4625,5,40.0
CSP_LDA,48,0.475,0.055901699437494734,0.475,0.4875,5,47.5
CSP_LDA,49,0.45,0.18957188610128875,0.45,0.4375,5,45.0
CSP_LDA,5,0.55,0.14252192813739226,0.55,0.575,5,55.00000000000001
CSP_LDA,50,0.3,0.2270737765573119,0.3,0.375,5,30.0
CSP_LDA,6,0.425,0.11180339887498948,0.425,0.3375,5,42.5
CSP_LDA,7,0.75,0.15309310892394865,0.75,0.7125,5,75.0
CSP_LDA,8,0.45,0.2592055169165965,0.45,0.3875,5,45.0
CSP_LDA,9,0.525,0.10458250331675945,0.525,0.5375,5,52.5
FBCSP_SVM,1,0.375,0.25,0.375,0.4375,5,37.5
FBCSP_SVM,10,0.375,0.23385358667337133,0.375,0.3875,5,37.5
FBCSP_SVM,11,0.625,0.25,0.625,0.6125,5,62.5
FBCSP_SVM,12,0.45,0.14252192813739223,0.45,0.3375,5,45.0
FBCSP_SVM,13,0.6,0.2053959590644373,0.6,0.525,5,60.0
FBCSP_SVM,14,0.325,0.06846531968814576,0.325,0.225,5,32.5
FBCSP_SVM,15,0.4,0.13693063937629152,0.4,0.3875,5,40.0
FBCSP_SVM,16,0.6,0.270993542358485,0.6,0.7125,5,60.0
FBCSP_SVM,17,0.55,0.18957188610128875,0.55,0.6625,5,55.00000000000001
FBCSP_SVM,18,0.4,0.13693063937629152,0.4,0.3125,5,40.0
FBCSP_SVM,19,0.4,0.16298006013006622,0.4,0.2625,5,40.0
FBCSP_SVM,2,0.375,0.23385358667337133,0.375,0.3125,5,37.5
