subject_id,balanced_accuracy,accuracy,n_trials
sub-01,0.5,0.5,40
sub-02,0.5,0.5,40
sub-03,0.5,0.5,40
sub-04,0.5,0.5,40
sub-05,0.5,0.5,40
sub-06,0.5,0.5,40
sub-07,0.5,0.5,40
sub-08,0.5,0.5,40
sub-09,0.5,0.5,40
sub-10,0.5,0.5,40
sub-11,0.5,0.5,40
sub-12,0.5,0.5,40
sub-13,0.5,0.5,40
sub-14,0.5,0.5,40
sub-15,0.5,0.5,40
sub-16,0.5,0.5,40
sub-17,0.5,0.5,40
sub-18,0.5,0.5,40
sub-19,0.475,0.475,40
sub-20,0.5,0.5,40
sub-21,0.5,0.5,40
sub-22,0.525,0.525,40
sub-23,0.5,0.5,40
sub-24,0.5,0.5,40
sub-25,0.5,0.5,40
sub-26,0.5,0.5,40
sub-27,0.475,0.475,40
sub-28,0.5,0.5,40
sub-29,0.475,0.475,40
sub-30,0.475,0.475,40
sub-31,0.5,0.5,40
sub-32,0.5,0.5,40
sub-33,0.475,0.475,40
sub-34,0.475,0.475,40
sub-35,0.5,0.5,40
sub-36,0.5,0.5,40
sub-37,0.475,0.475,40
sub-38,0.5,0.5,40
sub-39,0.5,0.5,40
sub-40,0.5,0.5,40
sub-41,0.475,0.475,40
sub-42,0.525,0.525,40
sub-43,0.475,0.475,40
sub-44,0.5499999999999999,0.55,40
sub-45,0.5,0.5,40
sub-46,0.5,0.5,40
sub-47,0.5,0.5,40
sub-48,0.5,0.5,40
sub-49,0.5,0.5,40
sub-50,0.5,0.5,40
