method,subject_id,accuracy,balanced_accuracy,f1,confusion_matrix
full_montage_control,sub-01,0.425,0.425,0.46511627906976744,"[[7, 13], [10, 10]]"
full_montage_control,sub-03,0.475,0.475,0.4878048780487805,"[[9, 11], [10, 10]]"
full_montage_control,sub-07,0.575,0.575,0.6382978723404256,"[[8, 12], [5, 15]]"
nonlesioned_hemisphere,sub-01,0.375,0.375,0.4186046511627907,"[[6, 14], [11, 9]]"
nonlesioned_hemisphere,sub-03,0.45,0.45,0.5,"[[7, 13], [9, 11]]"
nonlesioned_hemisphere,sub-07,0.525,0.525,0.6122448979591837,"[[6, 14], [5, 15]]"
