subject_id,fold_id,method,accuracy,balanced_accuracy,outer_test_used_for_center,outer_test_used_for_fit,outer_test_used_for_selection
sub-23,2,pooled_unaligned,0.75,0.75,False,False,False
sub-23,2,riemannian_recentered,0.75,0.75,False,False,False
sub-23,3,target_only,0.875,0.875,False,False,False
sub-23,3,pooled_unaligned,0.75,0.75,False,False,False
sub-23,3,riemannian_recentered,0.75,0.75,False,False,False
sub-23,4,target_only,0.875,0.875,False,False,False
sub-23,4,pooled_unaligned,0.375,0.375,False,False,False
sub-23,4,riemannian_recentered,0.5,0.5,False,False,False
sub-24,0,target_only,0.125,0.125,False,False,False
sub-24,0,pooled_unaligned,0.25,0.25,False,False,False
sub-24,0,riemannian_recentered,0.5,0.5,False,False,False
sub-24,1,target_only,0.625,0.625,False,False,False
sub-24,1,pooled_unaligned,0.25,0.25,False,False,False
sub-24,1,riemannian_recentered,0.375,0.375,False,False,False
sub-24,2,target_only,0.875,0.875,False,False,False
sub-24,2,pooled_unaligned,0.75,0.75,False,False,False
sub-24,2,riemannian_recentered,0.625,0.625,False,False,False
sub-24,3,target_only,0.625,0.625,False,False,False
sub-24,3,pooled_unaligned,0.5,0.5,False,False,False
sub-24,3,riemannian_recentered,0.5,0.5,False,False,False
sub-24,4,target_only,0.625,0.625,False,False,False
sub-24,4,pooled_unaligned,0.625,0.625,False,False,False
sub-24,4,riemannian_recentered,0.375,0.375,False,False,False
sub-25,0,target_only,0.875,0.875,False,False,False
sub-25,0,pooled_unaligned,0.75,0.75,False,False,False
sub-25,0,riemannian_recentered,0.75,0.75,False,False,False
sub-25,1,target_only,0.875,0.875,False,False,False
sub-25,1,pooled_unaligned,0.625,0.625,False,False,False
sub-25,1,riemannian_recentered,0.625,0.625,False,False,False
sub-25,2,target_only,0.625,0.625,False,False,False
sub-25,2,pooled_unaligned,0.875,0.875,False,False,False
sub-25,2,riemannian_recentered,0.875,0.875,False,False,False
sub-25,3,target_only,0.875,0.875,False,False,False
