target,branch,strategy,K,rep,balanced_accuracy
7,riemann,within_only,8,9,0.71875
7,riemann,transfer_only,8,9,0.625
7,riemann,transfer_plus_cal,8,9,0.59375
7,riemann,within_only,12,0,0.6785714285714286
7,riemann,transfer_only,12,0,0.4642857142857143
7,riemann,transfer_plus_cal,12,0,0.5
7,riemann,within_only,12,1,0.7142857142857143
7,riemann,transfer_only,12,1,0.5714285714285714
7,riemann,transfer_plus_cal,12,1,0.6071428571428571
7,riemann,within_only,12,2,0.75
7,riemann,transfer_only,12,2,0.5357142857142857
7,riemann,transfer_plus_cal,12,2,0.5714285714285714
7,riemann,within_only,12,3,0.6785714285714286
7,riemann,transfer_only,12,3,0.4285714285714286
7,riemann,transfer_plus_cal,12,3,0.4642857142857143
7,riemann,within_only,12,4,0.7142857142857143
7,riemann,transfer_only,12,4,0.5
7,riemann,transfer_plus_cal,12,4,0.5357142857142857
7,riemann,within_only,12,5,0.6785714285714286
7,riemann,transfer_only,12,5,0.4642857142857143
7,riemann,transfer_plus_cal,12,5,0.5
7,riemann,within_only,12,6,0.6071428571428571
7,riemann,transfer_only,12,6,0.5357142857142857
7,riemann,transfer_plus_cal,12,6,0.5357142857142857
7,riemann,within_only,12,7,0.6785714285714286
7,riemann,transfer_only,12,7,0.5357142857142857
7,riemann,transfer_plus_cal,12,7,0.6428571428571428
7,riemann,within_only,12,8,0.75
7,riemann,transfer_only,12,8,0.5
7,riemann,transfer_plus_cal,12,8,0.5357142857142857
7,riemann,within_only,12,9,0.75
7,riemann,transfer_only,12,9,0.5357142857142857
7,riemann,transfer_plus_cal,12,9,0.5357142857142857
7,riemann,within_only,16,0,0.8333333333333333
7,riemann,transfer_only,16,0,0.45833333333333337
7,riemann,transfer_plus_cal,16,0,0.5
7,riemann,within_only,16,1,0.625
7,riemann,transfer_only,16,1,0.375
7,riemann,transfer_plus_cal,16,1,0.33333333333333337
7,riemann,within_only,16,2,0.7916666666666667
7,riemann,transfer_only,16,2,0.5416666666666667
7,riemann,transfer_plus_cal,16,2,0.5833333333333334
7,riemann,within_only,16,3,0.6666666666666667
7,riemann,transfer_only,16,3,0.4166666666666667
7,riemann,transfer_plus_cal,16,3,0.4166666666666667
7,riemann,within_only,16,4,0.5833333333333333
7,riemann,transfer_only,16,4,0.625
7,riemann,transfer_plus_cal,16,4,0.625
7,riemann,within_only,16,5,0.6666666666666666
7,riemann,transfer_only,16,5,0.5
7,riemann,transfer_plus_cal,16,5,0.5416666666666667
7,riemann,within_only,16,6,0.875
7,riemann,transfer_only,16,6,0.4166666666666667
7,riemann,transfer_plus_cal,16,6,0.5416666666666667
7,riemann,within_only,16,7,0.7083333333333333
7,riemann,transfer_only,16,7,0.5416666666666667
7,riemann,transfer_plus_cal,16,7,0.5
7,riemann,within_only,16,8,0.625
7,riemann,transfer_only,16,8,0.5833333333333333
7,riemann,transfer_plus_cal,16,8,0.5833333333333334
7,riemann,within_only,16,9,0.6666666666666666
7,riemann,transfer_only,16,9,0.45833333333333337
7,riemann,transfer_plus_cal,16,9,0.5
7,riemann,within_only,24,0,0.75
7,riemann,transfer_only,24,0,0.5625
7,riemann,transfer_plus_cal,24,0,0.625
7,riemann,within_only,24,1,0.875
7,riemann,transfer_only,24,1,0.4375
7,riemann,transfer_plus_cal,24,1,0.5
7,riemann,within_only,24,2,0.75
7,riemann,transfer_only,24,2,0.625
7,riemann,transfer_plus_cal,24,2,0.5625
7,riemann,within_only,24,3,0.75
7,riemann,transfer_only,24,3,0.5625
7,riemann,transfer_plus_cal,24,3,0.5
7,riemann,within_only,24,4,0.625
7,riemann,transfer_only,24,4,0.5
7,riemann,transfer_plus_cal,24,4,0.5625
7,riemann,within_only,24,5,0.8125
7,riemann,transfer_only,24,5,0.625
7,riemann,transfer_plus_cal,24,5,0.6875
7,riemann,within_only,24,6,0.75
7,riemann,transfer_only,24,6,0.75
7,riemann,transfer_plus_cal,24,6,0.75
7,riemann,within_only,24,7,0.875
7,riemann,transfer_only,24,7,0.4375
7,riemann,transfer_plus_cal,24,7,0.4375
7,riemann,within_only,24,8,0.5
7,riemann,transfer_only,24,8,0.4375
7,riemann,transfer_plus_cal,24,8,0.4375
7,riemann,within_only,24,9,0.75
7,riemann,transfer_only,24,9,0.4375
7,riemann,transfer_plus_cal,24,9,0.4375
7,sjepa,transfer_only,0,0,0.475
7,sjepa,transfer_plus_cal,0,0,0.475
7,sjepa,transfer_only,0,1,0.475
7,sjepa,transfer_plus_cal,0,1,0.475
7,sjepa,transfer_only,0,2,0.475
7,sjepa,transfer_plus_cal,0,2,0.475
7,sjepa,transfer_only,0,3,0.475
7,sjepa,transfer_plus_cal,0,3,0.475
7,sjepa,transfer_only,0,4,0.475
7,sjepa,transfer_plus_cal,0,4,0.475
7,sjepa,transfer_only,0,5,0.475
7,sjepa,transfer_plus_cal,0,5,0.475
7,sjepa,transfer_only,0,6,0.475
7,sjepa,transfer_plus_cal,0,6,0.475
7,sjepa,transfer_only,0,7,0.475
7,sjepa,transfer_plus_cal,0,7,0.475
7,sjepa,transfer_only,0,8,0.475
7,sjepa,transfer_plus_cal,0,8,0.475
7,sjepa,transfer_only,0,9,0.475
