branch,strategy,K,balanced_accuracy
fusion,transfer_only,0,0.525
fusion,transfer_only,4,0.5180555555555555
fusion,transfer_only,8,0.528125
fusion,transfer_only,12,0.5202380952380953
fusion,transfer_only,16,0.5125
fusion,transfer_only,24,0.515625
fusion,transfer_plus_cal,0,0.525
fusion,transfer_plus_cal,4,0.5333333333333333
fusion,transfer_plus_cal,8,0.5546875
fusion,transfer_plus_cal,12,0.5565476190476191
fusion,transfer_plus_cal,16,0.570138888888889
fusion,transfer_plus_cal,24,0.5677083333333334
fusion,within_only,4,0.5592592592592592
fusion,within_only,8,0.5984375
fusion,within_only,12,0.6255952380952381
fusion,within_only,16,0.6527777777777778
fusion,within_only,24,0.6697916666666667
riemann,transfer_only,0,0.5166666666666667
riemann,transfer_only,4,0.5111111111111112
riemann,transfer_only,8,0.51875
riemann,transfer_only,12,0.5107142857142857
riemann,transfer_only,16,0.5090277777777777
riemann,transfer_only,24,0.5104166666666666
riemann,transfer_plus_cal,0,0.5166666666666667
riemann,transfer_plus_cal,4,0.5291666666666667
riemann,transfer_plus_cal,8,0.5494791666666666
riemann,transfer_plus_cal,12,0.5607142857142856
riemann,transfer_plus_cal,16,0.5541666666666667
riemann,transfer_plus_cal,24,0.55625
riemann,within_only,4,0.5541666666666667
riemann,within_only,8,0.6041666666666666
riemann,within_only,12,0.6333333333333333
riemann,within_only,16,0.6472222222222223
riemann,within_only,24,0.6635416666666667
sjepa,transfer_only,0,0.49583333333333335
sjepa,transfer_only,4,0.4986111111111111
sjepa,transfer_only,8,0.4947916666666667
sjepa,transfer_only,12,0.5089285714285714
sjepa,transfer_only,16,0.4881944444444445
sjepa,transfer_only,24,0.5041666666666667
sjepa,transfer_plus_cal,0,0.49583333333333335
sjepa,transfer_plus_cal,4,0.5111111111111112
sjepa,transfer_plus_cal,8,0.5036458333333333
sjepa,transfer_plus_cal,12,0.5202380952380953
sjepa,transfer_plus_cal,16,0.5131944444444445
sjepa,transfer_plus_cal,24,0.5229166666666667
sjepa,within_only,4,0.5231481481481481
sjepa,within_only,8,0.5052083333333334
sjepa,within_only,12,0.5154761904761905
sjepa,within_only,16,0.54375
sjepa,within_only,24,0.5395833333333333
