channel_index,channel_name,mean_abs_weight,std_abs_weight,mean_signed_weight,mean_l2_weight,n_fold_values,mean_balanced_accuracy,mean_collapse_ratio,collapse_rate,mean_spatial_delta_l2,mean_spatial_relative_delta,group
0,Fp1,0.09924045547999999,0.024772769051368885,-0.0822732338,0.11239014396000001,250,0.57,0.811,0.42,0.37681372112,0.3157270946,All folds
1,Fp2,0.07264130247999999,0.01811974985165936,0.05374503868,0.08967437352,250,0.57,0.811,0.42,0.37681372112,0.3157270946,All folds
2,Fz,0.10432650344,0.0203758604318857,-0.09192577319999999,0.11766254028,250,0.57,0.811,0.42,0.37681372112,0.3157270946,All folds
3,F3,0.08841105848,0.016251019612035685,0.03090342176,0.09826909872,250,0.57,0.811,0.42,0.37681372112,0.3157270946,All folds
4,F4,0.0943139148,0.021139000326798666,0.01190248392,0.1065484002,250,0.57,0.811,0.42,0.37681372112,0.3157270946,All folds
5,F7,0.0833385862,0.021361527053936458,0.07517535968,0.09653255084,250,0.57,0.811,0.42,0.37681372112,0.3157270946,All folds
6,F8,0.07466307088,0.023135878613591825,-0.01714035032,0.08057663856000001,250,0.57,0.811,0.42,0.37681372112,0.3157270946,All folds
7,FCz,0.10103139744,0.022875710863406316,0.0927378046,0.11573034988,250,0.57,0.811,0.42,0.37681372112,0.3157270946,All folds
8,FC3,0.0483151634,0.032094928218295536,-0.0004647062000000001,0.05596075384,250,0.57,0.811,0.42,0.37681372112,0.3157270946,All folds
9,FC4,0.06564604744000001,0.026579987150088122,-0.04245738736,0.08166237124,250,0.57,0.811,0.42,0.37681372112,0.3157270946,All folds
10,FT7,0.08427567227999999,0.02000105983020126,-0.04908857684,0.09736646360000001,250,0.57,0.811,0.42,0.37681372112,0.3157270946,All folds
11,FT8,0.08203397664,0.020090178217910187,-0.00109589728,0.09889049368000001,250,0.57,0.811,0.42,0.37681372112,0.3157270946,All folds
12,Cz,0.08192101352,0.02229574639551664,0.07061013,0.09656366036,250,0.57,0.811,0.42,0.37681372112,0.3157270946,All folds
13,C3,0.10755351532,0.02323080243185012,0.05570302524,0.11489908172,250,0.57,0.811,0.42,0.37681372112,0.3157270946,All folds
14,C4,0.09217448383999999,0.0268180051071452,-0.06326544064,0.10458112328,250,0.57,0.811,0.42,0.37681372112,0.3157270946,All folds
15,T3,0.1187254018,0.022799953253357232,0.11219284756,0.12734806736,250,0.57,0.811,0.42,0.37681372112,0.3157270946,All folds
16,T4,0.11282783451999999,0.023024278986239797,0.01478601584,0.12734000484,250,0.57,0.811,0.42,0.37681372112,0.3157270946,All folds
17,CP3,0.12064968168,0.021926237562783717,0.02143778,0.13987438072,250,0.57,0.811,0.42,0.37681372112,0.3157270946,All folds
18,CP4,0.11097268692000001,0.020418881117988244,0.041387130200000004,0.1281757298,250,0.57,0.811,0.42,0.37681372112,0.3157270946,All folds
19,TP7,0.08759391476,0.022054389388651566,-0.028433904399999998,0.09953347968,250,0.57,0.811,0.42,0.37681372112,0.3157270946,All folds
20,TP8,0.09479149587999999,0.021971337673149953,-0.04750104564,0.11236314224,250,0.57,0.811,0.42,0.37681372112,0.3157270946,All folds
21,Pz,0.13981134836,0.029187960917679584,0.001874432,0.14503835136,250,0.57,0.811,0.42,0.37681372112,0.3157270946,All folds
22,P3,0.10594123808,0.026290862369054434,0.0950465932,0.11727503768,250,0.57,0.811,0.42,0.37681372112,0.3157270946,All folds
23,P4,0.10440746324,0.025393784542372507,-0.0837827908,0.11732342124,250,0.57,0.811,0.42,0.37681372112,0.3157270946,All folds
24,T5,0.0974616212,0.0245064376864064,0.06123276816,0.10784116612,250,0.57,0.811,0.42,0.37681372112,0.3157270946,All folds
25,T6,0.08034915084,0.01716493292688498,-0.051507794679999996,0.09282099804,250,0.57,0.811,0.42,0.37681372112,0.3157270946,All folds
26,Oz,0.08216465635999999,0.021848228802197247,0.04046245252,0.08894227571999999,250,0.57,0.811,0.42,0.37681372112,0.3157270946,All folds
27,O1,0.11366648927999999,0.022648858590319416,0.04771033748,0.12639318796000001,250,0.57,0.811,0.42,0.37681372112,0.3157270946,All folds
28,O2,0.13504981244,0.027137137575402353,-0.01859308372,0.14182591744,250,0.57,0.811,0.42,0.37681372112,0.3157270946,All folds
