fold_group,folds,mean_accuracy_pct,mean_balanced_accuracy_pct,mean_collapse_ratio,mean_spatial_delta_l2,mean_spatial_relative_delta,mean_confidence,mean_normalized_prediction_entropy
All folds,250,56.99999999999999,56.99999999999999,0.811,0.37681372111999994,0.3157270946,0.55437108896,0.96404198804
Non-collapsed,145,62.06896551724138,62.06896551724138,0.6741379310344827,0.6431879503448276,0.5389184406206897,0.5887826235862068,0.9381187494482759
Collapsed,105,50.0,50.0,1.0,0.008963595047619047,0.007510473904761904,0.5068503982857143,0.9998407460952382
