channel_index,channel_name,mean_abs_update,std_abs_update,mean_signed_update,mean_l2_update,n_fold_values,mean_balanced_accuracy,mean_collapse_ratio,collapse_rate,mean_confidence,mean_normalized_prediction_entropy,group
0,Fp1,0.02528673973,0.03402501437806906,0.013577966669999999,0.058428876771768765,250,0.57,0.811,0.42,0.55437108896,0.96404198804,All folds
1,Fp2,0.02297636503,0.029351638619396783,-0.007565144110000001,0.0537334895013132,250,0.57,0.811,0.42,0.55437108896,0.96404198804,All folds
2,Fz,0.025447443080000003,0.033374642818714176,0.006405719580000001,0.05904228477993274,250,0.57,0.811,0.42,0.55437108896,0.96404198804,All folds
3,F3,0.026960665249999998,0.036036799883502155,0.00334021663,0.06256573409798141,250,0.57,0.811,0.42,0.55437108896,0.96404198804,All folds
4,F4,0.03003497657,0.03947539566442034,-0.0005975416699999983,0.07037667173180837,250,0.57,0.811,0.42,0.55437108896,0.96404198804,All folds
5,F7,0.02551147982,0.031913939463001355,-0.006501396259999998,0.05866361250297453,250,0.57,0.811,0.42,0.55437108896,0.96404198804,All folds
6,F8,0.03047111388,0.04027553426752924,0.012066107320000002,0.06852476464554717,250,0.57,0.811,0.42,0.55437108896,0.96404198804,All folds
7,FCz,0.02766295185,0.04025230084079334,-0.006195085710000001,0.06309293240431689,250,0.57,0.811,0.42,0.55437108896,0.96404198804,All folds
8,FC3,0.028476235790000002,0.03950956088151186,-0.00648683377,0.0649577900945341,250,0.57,0.811,0.42,0.55437108896,0.96404198804,All folds
9,FC4,0.03394159767,0.04715258395185264,0.015434357190000001,0.07650974632764736,250,0.57,0.811,0.42,0.55437108896,0.96404198804,All folds
10,FT7,0.028287664969999998,0.03540433099430728,0.009137647389999998,0.06545221364306501,250,0.57,0.811,0.42,0.55437108896,0.96404198804,All folds
11,FT8,0.024560400010000004,0.03288384262299674,0.0024418977699999993,0.056882663861319356,250,0.57,0.811,0.42,0.55437108896,0.96404198804,All folds
12,Cz,0.02668458078,0.03625289578069191,-0.005073525499999998,0.061770406475858325,250,0.57,0.811,0.42,0.55437108896,0.96404198804,All folds
13,C3,0.03443306138,0.04786079295785864,-0.01681345998,0.07816768610880497,250,0.57,0.811,0.42,0.55437108896,0.96404198804,All folds
14,C4,0.03347039513,0.047612478555333244,0.01185915655,0.07546929402496735,250,0.57,0.811,0.42,0.55437108896,0.96404198804,All folds
15,T3,0.02809757443,0.038600858574566126,-0.01454193667,0.06409261398725997,250,0.57,0.811,0.42,0.55437108896,0.96404198804,All folds
16,T4,0.027629362010000002,0.03564098693491965,0.0014700652700000015,0.06371307118416861,250,0.57,0.811,0.42,0.55437108896,0.96404198804,All folds
17,CP3,0.03039528278,0.039177256574489165,-0.011505762660000005,0.06890772128622495,250,0.57,0.811,0.42,0.55437108896,0.96404198804,All folds
18,CP4,0.02767981692,0.03866790462825732,0.00687764572,0.06290077590306843,250,0.57,0.811,0.42,0.55437108896,0.96404198804,All folds
19,TP7,0.02857080993,0.03728263589844291,-0.009702411990000001,0.0663208306978654,250,0.57,0.811,0.42,0.55437108896,0.96404198804,All folds
20,TP8,0.030511483859999997,0.044979979640584936,0.01181236,0.06943346103208674,250,0.57,0.811,0.42,0.55437108896,0.96404198804,All folds
21,Pz,0.03214994636,0.04594241912973135,-0.004857960439999996,0.07295994960177789,250,0.57,0.811,0.42,0.55437108896,0.96404198804,All folds
22,P3,0.03061949637,0.04194479466212795,-0.013110846910000001,0.0708516522172196,250,0.57,0.811,0.42,0.55437108896,0.96404198804,All folds
23,P4,0.030224491229999997,0.04269970174603271,0.00923251721,0.06852608128446967,250,0.57,0.811,0.42,0.55437108896,0.96404198804,All folds
24,T5,0.030399810599999997,0.04010750223608264,-0.012056054299999994,0.07021343566068576,250,0.57,0.811,0.42,0.55437108896,0.96404198804,All folds
25,T6,0.02914788545,0.04044284253420165,0.010848732969999999,0.06670806040138037,250,0.57,0.811,0.42,0.55437108896,0.96404198804,All folds
26,Oz,0.026749693260000002,0.036137225871910976,-0.0018051375400000012,0.06214849072466443,250,0.57,0.811,0.42,0.55437108896,0.96404198804,All folds
27,O1,0.028454702140000003,0.03726356037404291,-0.008372694440000003,0.0658323555993169,250,0.57,0.811,0.42,0.55437108896,0.96404198804,All folds
28,O2,0.026691795919999997,0.03560369599833682,0.005096448659999995,0.06108981753600834,250,0.57,0.811,0.42,0.55437108896,0.96404198804,All folds
