channel_index,channel_name,mean_abs_weight,std_abs_weight,mean_signed_weight,mean_l2_weight,n_fold_values,mean_balanced_accuracy,mean_collapse_ratio,collapse_rate,mean_spatial_delta_l2,mean_spatial_relative_delta,group
0,Fp1,0.10989478657142857,0.0006269299781134763,-0.09591205342857144,0.12263845628571429,105,0.5,1.0,1.0,0.008963595047619047,0.0075104739047619044,Collapsed
1,Fp2,0.07783829952380952,0.0006071303290755816,0.06135604314285714,0.0953694662857143,105,0.5,1.0,1.0,0.008963595047619047,0.0075104739047619044,Collapsed
2,Fz,0.10401919704761906,0.0006627408034195258,-0.09837081704761903,0.11746444438095238,105,0.5,1.0,1.0,0.008963595047619047,0.0075104739047619044,Collapsed
3,F3,0.08763274342857143,0.0006263881568807298,0.027445539142857144,0.09443240266666666,105,0.5,1.0,1.0,0.008963595047619047,0.0075104739047619044,Collapsed
4,F4,0.09749742038095238,0.00037641015666966534,0.012613096476190475,0.1076789799047619,105,0.5,1.0,1.0,0.008963595047619047,0.0075104739047619044,Collapsed
5,F7,0.08410018990476191,0.0005826596614010879,0.08164713104761906,0.09768965904761905,105,0.5,1.0,1.0,0.008963595047619047,0.0075104739047619044,Collapsed
6,F8,0.07749665723809523,0.0005269076626585156,-0.029115011333333333,0.07850222752380953,105,0.5,1.0,1.0,0.008963595047619047,0.0075104739047619044,Collapsed
7,FCz,0.09885783238095237,0.0004395723344572971,0.09885783238095237,0.11413523190476191,105,0.5,1.0,1.0,0.008963595047619047,0.0075104739047619044,Collapsed
8,FC3,0.031026020476190474,0.0006272349860090792,0.005892703904761905,0.03768578761904762,105,0.5,1.0,1.0,0.008963595047619047,0.0075104739047619044,Collapsed
9,FC4,0.05776032209523809,0.000777471826882213,-0.057758564,0.07599217714285714,105,0.5,1.0,1.0,0.008963595047619047,0.0075104739047619044,Collapsed
10,FT7,0.09050906009523808,0.0005990059092483273,-0.05825567742857143,0.10401311333333334,105,0.5,1.0,1.0,0.008963595047619047,0.0075104739047619044,Collapsed
11,FT8,0.07992109342857143,0.0007466313772793975,-0.0034087177142857143,0.09696177352380952,105,0.5,1.0,1.0,0.008963595047619047,0.0075104739047619044,Collapsed
12,Cz,0.07715155123809524,0.0006155747557547271,0.07570205514285713,0.09262688590476191,105,0.5,1.0,1.0,0.008963595047619047,0.0075104739047619044,Collapsed
13,C3,0.11530173076190477,0.0004772184107986431,0.07243739704761905,0.11747684980952382,105,0.5,1.0,1.0,0.008963595047619047,0.0075104739047619044,Collapsed
14,C4,0.08562796038095238,0.0005566136498746443,-0.07506762857142857,0.0960626941904762,105,0.5,1.0,1.0,0.008963595047619047,0.0075104739047619044,Collapsed
15,T3,0.12665612142857144,0.000593138781565476,0.12665612142857144,0.13189014019047618,105,0.5,1.0,1.0,0.008963595047619047,0.0075104739047619044,Collapsed
16,T4,0.12220677495238096,0.0005523321458790791,0.013311367333333332,0.13467993885714286,105,0.5,1.0,1.0,0.008963595047619047,0.0075104739047619044,Collapsed
17,CP3,0.12124773466666668,0.0005236340871919628,0.032850367047619046,0.13963792685714285,105,0.5,1.0,1.0,0.008963595047619047,0.0075104739047619044,Collapsed
18,CP4,0.11099412038095238,0.0005318874828471404,0.034568529904761905,0.12763827533333333,105,0.5,1.0,1.0,0.008963595047619047,0.0075104739047619044,Collapsed
19,TP7,0.08440490552380953,0.0005923553646070995,-0.018803724857142858,0.09434819714285714,105,0.5,1.0,1.0,0.008963595047619047,0.0075104739047619044,Collapsed
20,TP8,0.0891534837142857,0.0004431822704648068,-0.05920259552380953,0.10823023914285713,105,0.5,1.0,1.0,0.008963595047619047,0.0075104739047619044,Collapsed
21,Pz,0.1528757680952381,0.0008134101264324647,0.0068097984761904765,0.15306914228571428,105,0.5,1.0,1.0,0.008963595047619047,0.0075104739047619044,Collapsed
22,P3,0.1080567220952381,0.0005265696309673618,0.1080567220952381,0.11724430323809525,105,0.5,1.0,1.0,0.008963595047619047,0.0075104739047619044,Collapsed
23,P4,0.10473400990476191,0.0007484358942699931,-0.09295154095238095,0.11670007123809524,105,0.5,1.0,1.0,0.008963595047619047,0.0075104739047619044,Collapsed
24,T5,0.10502997438095238,0.0005057812348104555,0.07329063923809524,0.11443569514285713,105,0.5,1.0,1.0,0.008963595047619047,0.0075104739047619044,Collapsed
25,T6,0.08115452895238096,0.0005715378194935061,-0.06232809342857142,0.0924383339047619,105,0.5,1.0,1.0,0.008963595047619047,0.0075104739047619044,Collapsed
26,Oz,0.07761676238095237,0.0005297126471303626,0.042263442857142855,0.080007142,105,0.5,1.0,1.0,0.008963595047619047,0.0075104739047619044,Collapsed
27,O1,0.12173486733333334,0.0005650432001970976,0.05605538571428571,0.13215483457142857,105,0.5,1.0,1.0,0.008963595047619047,0.0075104739047619044,Collapsed
28,O2,0.14424044142857143,0.0006770224573445822,-0.023683499238095238,0.146974562,105,0.5,1.0,1.0,0.008963595047619047,0.0075104739047619044,Collapsed
