channel_index,channel_name,mean_abs_weight,std_abs_weight,mean_signed_weight,mean_l2_weight,n_fold_values,mean_balanced_accuracy,mean_collapse_ratio,collapse_rate,mean_spatial_delta_l2,mean_spatial_relative_delta,group
0,Fp1,0.09152525020689654,0.030301479083881658,-0.07239684717241379,0.10496895227586207,145,0.6206896551724138,0.6741379310344827,0.0,0.6431879503448276,0.5389184406206896,Non-collapsed
1,Fp2,0.06887795979310345,0.023097792249557502,0.048233621655172414,0.08555034082758621,145,0.6206896551724138,0.6741379310344827,0.0,0.6431879503448276,0.5389184406206896,Non-collapsed
2,Fz,0.10454903565517241,0.026785668141955755,-0.08725867248275862,0.11780598903448275,145,0.6206896551724138,0.6741379310344827,0.0,0.6431879503448276,0.5389184406206896,Non-collapsed
3,F3,0.08897466593103448,0.021345267213506224,0.03340740572413793,0.10104739586206897,145,0.6206896551724138,0.6741379310344827,0.0,0.6431879503448276,0.5389184406206896,Non-collapsed
4,F4,0.09200861765517242,0.027565327656500785,0.011387902413793104,0.10572970455172413,145,0.6206896551724138,0.6741379310344827,0.0,0.6431879503448276,0.5389184406206896,Non-collapsed
5,F7,0.08278708006896551,0.02807258451634841,0.07048890455172414,0.09569464489655173,145,0.6206896551724138,0.6741379310344827,0.0,0.6431879503448276,0.5389184406206896,Non-collapsed
6,F8,0.07261116351724138,0.030253502213868803,-0.008469044068965518,0.08207879827586206,145,0.6206896551724138,0.6741379310344827,0.0,0.6431879503448276,0.5389184406206896,Non-collapsed
7,FCz,0.10260535834482759,0.029979838924962487,0.08830606034482759,0.11688543531034483,145,0.6206896551724138,0.6741379310344827,0.0,0.6431879503448276,0.5389184406206896,Non-collapsed
8,FC3,0.0608348875862069,0.03748483754984109,-0.005068348,0.06919435006896552,145,0.6206896551724138,0.6741379310344827,0.0,0.6431879503448276,0.5389184406206896,Non-collapsed
9,FC4,0.07135640027586207,0.03380879661302055,-0.03137722496551724,0.08576837386206897,145,0.6206896551724138,0.6741379310344827,0.0,0.6431879503448276,0.5389184406206896,Non-collapsed
10,FT7,0.07976183972413793,0.025350203118681202,-0.042450331586206896,0.0925533724137931,145,0.6206896551724138,0.6741379310344827,0.0,0.6431879503448276,0.5389184406206896,Non-collapsed
11,FT8,0.08356399551724138,0.02630404970818416,0.0005789037241379312,0.10028715310344828,145,0.6206896551724138,0.6741379310344827,0.0,0.6431879503448276,0.5389184406206896,Non-collapsed
12,Cz,0.08537476206896552,0.02882182293250499,0.06692287386206897,0.09941442806896551,145,0.6206896551724138,0.6741379310344827,0.0,0.6431879503448276,0.5389184406206896,Non-collapsed
13,C3,0.10194273862068966,0.02928379029580966,0.04358503186206897,0.11303242206896552,145,0.6206896551724138,0.6741379310344827,0.0,0.6431879503448276,0.5389184406206896,Non-collapsed
14,C4,0.09691506979310345,0.034489464337893974,-0.05471902868965517,0.11074964089655173,145,0.6206896551724138,0.6741379310344827,0.0,0.6431879503448276,0.5389184406206896,Non-collapsed
15,T3,0.11298246689655173,0.028627958236696144,0.10171944234482758,0.12405898013793104,145,0.6206896551724138,0.6741379310344827,0.0,0.6431879503448276,0.5389184406206896,Non-collapsed
16,T4,0.106036188,0.028387558269163636,0.01585386475862069,0.12202488020689654,145,0.6206896551724138,0.6741379310344827,0.0,0.6431879503448276,0.5389184406206896,Non-collapsed
17,CP3,0.1202166088275862,0.028821282086126596,0.013173492827586208,0.1400456059310345,145,0.6206896551724138,0.6741379310344827,0.0,0.6431879503448276,0.5389184406206896,Non-collapsed
18,CP4,0.11095716613793102,0.026846559965964977,0.046324737310344824,0.12856492096551725,145,0.6206896551724138,0.6741379310344827,0.0,0.6431879503448276,0.5389184406206896,Non-collapsed
19,TP7,0.08990319731034482,0.028775357641184746,-0.03540748268965517,0.10328833944827587,145,0.6206896551724138,0.6741379310344827,0.0,0.6431879503448276,0.5389184406206896,Non-collapsed
20,TP8,0.09887419434482758,0.028189238676329224,-0.03902750951724138,0.11535593413793102,145,0.6206896551724138,0.6741379310344827,0.0,0.6431879503448276,0.5389184406206896,Non-collapsed
21,Pz,0.13035090648275863,0.03546954117146734,-0.001699454068965517,0.13922295103448276,145,0.6206896551724138,0.6741379310344827,0.0,0.6431879503448276,0.5389184406206896,Non-collapsed
22,P3,0.10440933586206896,0.034487531589467026,0.08562546537931034,0.11729729365517241,145,0.6206896551724138,0.6741379310344827,0.0,0.6431879503448276,0.5389184406206896,Non-collapsed
23,P4,0.1041709984137931,0.03338419750490611,-0.07714335103448276,0.11777481262068966,145,0.6206896551724138,0.6741379310344827,0.0,0.6431879503448276,0.5389184406206896,Non-collapsed
24,T5,0.09198108958620689,0.031085070560125962,0.052501206344827585,0.10306581751724138,145,0.6206896551724138,0.6741379310344827,0.0,0.6431879503448276,0.5389184406206896,Non-collapsed
25,T6,0.079765946,0.02254820428927556,-0.04367240593103448,0.0930980996551724,145,0.6206896551724138,0.6741379310344827,0.0,0.6431879503448276,0.5389184406206896,Non-collapsed
26,Oz,0.08545795889655172,0.028270193215720288,0.03915828710344828,0.09541254496551724,145,0.6206896551724138,0.6741379310344827,0.0,0.6431879503448276,0.5389184406206896,Non-collapsed
27,O1,0.10782387068965517,0.028371470618296733,0.04166737151724138,0.12222096110344828,145,0.6206896551724138,0.6741379310344827,0.0,0.6431879503448276,0.5389184406206896,Non-collapsed
28,O2,0.12839452937931034,0.03415959337110447,-0.014906920758620691,0.13809758862068966,145,0.6206896551724138,0.6741379310344827,0.0,0.6431879503448276,0.5389184406206896,Non-collapsed
