channel_index,channel_name,mean_abs_update,std_abs_update,mean_signed_update,mean_l2_update,n_fold_values,mean_balanced_accuracy,mean_collapse_ratio,collapse_rate,mean_confidence,mean_normalized_prediction_entropy,group
0,Fp1,0.04303205577586207,0.03530669378866581,0.023454353258620688,0.09956360709526263,145,0.6206896551724138,0.6741379310344827,0.0,0.5887826235862069,0.9381187494482759,Non-collapsed
1,Fp2,0.039019402465517244,0.02953217471602607,-0.013076561224137933,0.0914277399318674,145,0.6206896551724138,0.6741379310344827,0.0,0.5887826235862069,0.9381187494482759,Non-collapsed
2,Fz,0.04328312922413793,0.034101194356610305,0.011072820120689657,0.10058618723195477,145,0.6206896551724138,0.6741379310344827,0.0,0.5887826235862069,0.9381187494482759,Non-collapsed
3,F3,0.04589651405172414,0.037221562609860086,0.005844200741379311,0.10665626562288039,145,0.6206896551724138,0.6741379310344827,0.0,0.5887826235862069,0.9381187494482759,Non-collapsed
4,F4,0.051225918672413794,0.040219682923199315,-0.0011121227758620672,0.1201672655626096,145,0.6206896551724138,0.6741379310344827,0.0,0.5887826235862069,0.9381187494482759,Non-collapsed
5,F7,0.043423249051724136,0.03148981862839484,-0.011187851189655169,0.09997518856851298,145,0.6206896551724138,0.6741379310344827,0.0,0.5887826235862069,0.9381187494482759,Non-collapsed
6,F8,0.051949204482758624,0.041212628561250554,0.020737413724137933,0.11692753675396288,145,0.6206896551724138,0.6741379310344827,0.0,0.5887826235862069,0.9381187494482759,Non-collapsed
7,FCz,0.04712868915517242,0.04350696182165239,-0.010626829086206897,0.10761054765697012,145,0.6206896551724138,0.6741379310344827,0.0,0.5887826235862069,0.9381187494482759,Non-collapsed
8,FC3,0.04853832627586207,0.04163978820162429,-0.01109047572413793,0.11083026930594428,145,0.6206896551724138,0.6741379310344827,0.0,0.5887826235862069,0.9381187494482759,Non-collapsed
9,FC4,0.057953498137931034,0.04961726718417353,0.02651452003448276,0.1307179946927957,145,0.6206896551724138,0.6741379310344827,0.0,0.5887826235862069,0.9381187494482759,Non-collapsed
10,FT7,0.048211820396551724,0.03486230739384805,0.015775893155172412,0.11167942170142056,145,0.6206896551724138,0.6741379310344827,0.0,0.5887826235862069,0.9381187494482759,Non-collapsed
11,FT8,0.04175664612068966,0.03406431097904218,0.0041166984655172404,0.09685683731443887,145,0.6206896551724138,0.6741379310344827,0.0,0.5887826235862069,0.9381187494482759,Non-collapsed
12,Cz,0.04544205337931034,0.03779810687074282,-0.008760781413793101,0.10532202462382342,145,0.6206896551724138,0.6741379310344827,0.0,0.5887826235862069,0.9381187494482759,Non-collapsed
13,C3,0.058809579017241376,0.05035817655583,-0.028931453051724138,0.13361022484436522,145,0.6206896551724138,0.6741379310344827,0.0,0.5887826235862069,0.9381187494482759,Non-collapsed
14,C4,0.05713906791379311,0.05075819997518552,0.020405568431034485,0.12894396780418774,145,0.6206896551724138,0.6741379310344827,0.0,0.5887826235862069,0.9381187494482759,Non-collapsed
15,T3,0.04784943244827586,0.040505534240611714,-0.02501534027586207,0.10928197491963929,145,0.6206896551724138,0.6741379310344827,0.0,0.5887826235862069,0.9381187494482759,Non-collapsed
16,T4,0.04708326939655172,0.03590103635191906,0.002537914568965519,0.10868680937379364,145,0.6206896551724138,0.6741379310344827,0.0,0.5887826235862069,0.9381187494482759,Non-collapsed
17,CP3,0.05182094617241379,0.03940737121010308,-0.01977004965517242,0.117591846816391,145,0.6206896551724138,0.6741379310344827,0.0,0.5887826235862069,0.9381187494482759,Non-collapsed
18,CP4,0.04712208222413793,0.04097114387870534,0.011815253086206895,0.10720693893725096,145,0.6206896551724138,0.6741379310344827,0.0,0.5887826235862069,0.9381187494482759,Non-collapsed
19,TP7,0.04869439070689655,0.03784542881387542,-0.016675990155172415,0.11316904861726418,145,0.6206896551724138,0.6741379310344827,0.0,0.5887826235862069,0.9381187494482759,Non-collapsed
20,TP8,0.05203374194827586,0.048861809356826914,0.020285895844827585,0.11853352234594376,145,0.6206896551724138,0.6741379310344827,0.0,0.5887826235862069,0.9381187494482759,Non-collapsed
21,Pz,0.054857316448275864,0.049123979521217644,-0.008431846965517239,0.12461027006805214,145,0.6206896551724138,0.6741379310344827,0.0,0.5887826235862069,0.9381187494482759,Non-collapsed
22,P3,0.052184055706896555,0.04389478422143727,-0.022531974465517243,0.1209159442451679,145,0.6206896551724138,0.6741379310344827,0.0,0.5887826235862069,0.9381187494482759,Non-collapsed
23,P4,0.05150037196551724,0.045462837790946876,0.01587195648275862,0.11690096329563965,145,0.6206896551724138,0.6741379310344827,0.0,0.5887826235862069,0.9381187494482759,Non-collapsed
24,T5,0.05185380503448276,0.04095934606281971,-0.020787616068965512,0.11989733271083362,145,0.6206896551724138,0.6741379310344827,0.0,0.5887826235862069,0.9381187494482759,Non-collapsed
25,T6,0.04968651244827586,0.042619876428281876,0.0186841214137931,0.11383123474557841,145,0.6206896551724138,0.6741379310344827,0.0,0.5887826235862069,0.9381187494482759,Non-collapsed
26,Oz,0.045525099137931034,0.0375826188450539,-0.0031093031379310354,0.10592715717259402,145,0.6206896551724138,0.6741379310344827,0.0,0.5887826235862069,0.9381187494482759,Non-collapsed
27,O1,0.04846265822413793,0.03795834421006133,-0.014415660706896555,0.11227627491717597,145,0.6206896551724138,0.6741379310344827,0.0,0.5887826235862069,0.9381187494482759,Non-collapsed
28,O2,0.04540375562068965,0.036767729747259156,0.008782611793103443,0.10406466268804657,145,0.6206896551724138,0.6741379310344827,0.0,0.5887826235862069,0.9381187494482759,Non-collapsed
