subject_id,honest_balacc_8_30,p_honest,oracle_balacc_maxband,p_oracle_selaware,fgmdm_balacc_8_30,q_honest_fdr,bonferroni_honest,decodable
40,0.7625,0.001998001998001998,0.8,0.001998001998001998,0.75,0.04995004995004995,0.0999000999000999,True
23,0.7375,0.000999000999000999,0.7375,0.005994005994005994,0.7625,0.04995004995004995,0.04995004995004995,True
28,0.725,0.004995004995004995,0.7625,0.004995004995004995,0.7125,0.07492507492507493,0.24975024975024976,False
7,0.7125,0.005994005994005994,0.775,0.001998001998001998,0.7875,0.07492507492507493,0.2997002997002997,False
22,0.6875,0.017982017982017984,0.775,0.003996003996003996,0.675,0.17982017982017984,0.8991008991008992,False
20,0.625,0.1018981018981019,0.6625,0.08591408591408592,0.6625,0.7278435849864422,1.0,False
30,0.6,0.15484515484515485,0.675,0.09090909090909091,0.6625,0.8602508602508603,1.0,False
38,0.6,0.14085914085914086,0.6375,0.2647352647352647,0.575,0.8602508602508603,1.0,False
11,0.6,0.0989010989010989,0.675,0.04095904095904096,0.625,0.7278435849864422,1.0,False
5,0.5625,0.2647352647352647,0.5625,0.7702297702297702,0.5875,0.988011988011988,1.0,False
37,0.5375,0.3726273726273726,0.725,0.022977022977022976,0.6,0.988011988011988,1.0,False
26,0.5375,0.35064935064935066,0.625,0.23476523476523475,0.6125,0.988011988011988,1.0,False
43,0.525,0.4025974025974026,0.525,0.6563436563436563,0.4875,0.988011988011988,1.0,False
47,0.525,0.4005994005994006,0.5625,0.5714285714285714,0.4625,0.988011988011988,1.0,False
12,0.525,0.4205794205794206,0.55,0.5834165834165834,0.4875,0.988011988011988,1.0,False
33,0.525,0.39760239760239763,0.525,0.7202797202797203,0.4625,0.988011988011988,1.0,False
15,0.525,0.3936063936063936,0.625,0.3936063936063936,0.5625,0.988011988011988,1.0,False
49,0.5125,0.46053946053946054,0.725,0.03196803196803197,0.5875,0.988011988011988,1.0,False
3,0.5125,0.46353646353646355,0.575,0.43756243756243757,0.5125,0.988011988011988,1.0,False
25,0.5,0.4935064935064935,0.6,0.2947052947052947,0.5875,0.988011988011988,1.0,False
1,0.5,0.4775224775224775,0.55,0.5834165834165834,0.45,0.988011988011988,1.0,False
16,0.4875,0.5564435564435565,0.5125,0.6733266733266733,0.3875,0.988011988011988,1.0,False
13,0.475,0.5904095904095904,0.5625,0.5164835164835165,0.625,0.988011988011988,1.0,False
6,0.475,0.5774225774225774,0.525,0.6353646353646354,0.4375,0.988011988011988,1.0,False
31,0.4625,0.6653346653346653,0.5375,0.6383616383616384,0.2875,0.988011988011988,1.0,False
14,0.4625,0.6433566433566433,0.575,0.6103896103896104,0.4625,0.988011988011988,1.0,False
45,0.4625,0.6523476523476524,0.6125,0.26573426573426573,0.5875,0.988011988011988,1.0,False
44,0.4625,0.6633366633366633,0.6875,0.024975024975024976,0.75,0.988011988011988,1.0,False
42,0.45,0.7172827172827173,0.5125,0.8161838161838162,0.5875,0.988011988011988,1.0,False
10,0.45,0.7112887112887113,0.5125,0.7622377622377622,0.4625,0.988011988011988,1.0,False
24,0.4375,0.7362637362637363,0.475,0.8101898101898102,0.475,0.988011988011988,1.0,False
18,0.4375,0.7822177822177823,0.525,0.7702297702297702,0.575,0.988011988011988,1.0,False
17,0.4375,0.7312687312687313,0.6,0.32967032967032966,0.4625,0.988011988011988,1.0,False
29,0.4375,0.7902097902097902,0.55,0.6643356643356644,0.5,0.988011988011988,1.0,False
19,0.425,0.8101898101898102,0.5125,0.7162837162837162,0.4625,0.988011988011988,1.0,False
48,0.4125,0.8421578421578422,0.5375,0.7102897102897103,0.5375,0.988011988011988,1.0,False
39,0.4,0.8491508491508492,0.4875,0.8551448551448552,0.475,0.988011988011988,1.0,False
32,0.3875,0.8701298701298701,0.5375,0.7682317682317682,0.35,0.988011988011988,1.0,False
36,0.375,0.8921078921078921,0.5625,0.5934065934065934,0.425,0.988011988011988,1.0,False
50,0.375,0.8991008991008991,0.4875,0.8291708291708292,0.575,0.988011988011988,1.0,False
27,0.375,0.919080919080919,0.4125,0.977022977022977,0.425,0.988011988011988,1.0,False
21,0.3625,0.9250749250749251,0.525,0.6373626373626373,0.5,0.988011988011988,1.0,False
41,0.35,0.949050949050949,0.45,0.9300699300699301,0.525,0.988011988011988,1.0,False
8,0.35,0.939060939060939,0.425,0.975024975024975,0.4,0.988011988011988,1.0,False
9,0.3375,0.962037962037962,0.525,0.7602397602397603,0.5,0.988011988011988,1.0,False
34,0.3375,0.965034965034965,0.3375,0.997002997002997,0.4,0.988011988011988,1.0,False
2,0.3375,0.9500499500499501,0.425,0.968031968031968,0.4625,0.988011988011988,1.0,False
35,0.3125,0.988011988011988,0.4375,0.9150849150849151,0.45,0.988011988011988,1.0,False
46,0.3125,0.972027972027972,0.4875,0.8521478521478522,0.4375,0.988011988011988,1.0,False
4,0.3125,0.98001998001998,0.3875,0.994005994005994,0.55,0.988011988011988,1.0,False
