subject_id,locked_shallow_ba,locked_shallow_collapse_rate,locked_prelocal_ba,physiology_mean_abs_g,riemann_ba,riemann_auc,margin_hedges_g_x,margin_rank_biserial_x,riemann_separation,mean_foldlocal_distance_contrast,microstate_mean_abs_difference,sjepa_ba,sjepa_auc,margin_hedges_g_y,margin_rank_biserial_y,linear_mmd_sq,sjepa_separation,linear_mmd_permutation_p,flagged_sub15_sensitivity
1,0.55,0.2,0.55,0.2674742416722895,0.35,0.34,-0.565136570728456,-0.31999999999999995,6.73374278761344,-0.15764149344882578,0.1531226369825847,0.5,0.44749999999999995,-0.1584331181447201,-0.10499999999999998,0.00013845469220541418,0.011766676791012287,0.46026986506746626,False
2,0.475,0.0,,0.19920213683483157,0.5,0.5225,-0.13295044789028146,0.04499999999999993,2.096480328966215,-0.0797060000649529,0.17405130247319775,0.575,0.49250000000000005,-0.09516523735509567,-0.015000000000000013,7.750914664939046e-05,0.008803928270936012,0.783608195902049,False
3,0.45,0.2,0.65,0.22953548445175503,0.35,0.4425,-0.11336438957631649,-0.11499999999999999,1.7191750321533932,-0.12505336543718007,0.14293277290500547,0.6499999999999999,0.6425,0.41501908633983003,0.2849999999999999,0.0002460232353769243,0.015685128048062325,0.050974512743628186,False
4,0.6499999999999999,0.0,,0.1835290847958647,0.375,0.37250000000000005,-0.4996418943785841,-0.255,7.049618043751488,-0.3388858460089922,0.05805611703465918,0.55,0.5075000000000001,-0.04793595043990493,0.014999999999999902,7.265283056767657e-05,0.008523662574589252,0.7636181909045477,False
5,0.7,0.0,,0.2754842928638987,0.625,0.63,0.44695125597292035,0.26,4.939639002957856,0.13375527644206633,0.06720797252338172,0.575,0.54,0.04992508435081495,0.08000000000000007,0.00011017161887139082,0.01049626711755991,0.14042978510744628,False
6,0.525,0.0,,0.19205627298194652,0.55,0.4375,-0.2564479736894553,-0.125,3.5822325750218695,-0.3331954939337277,0.12227067294160415,0.42500000000000004,0.34,-0.48379143963957044,-0.31999999999999995,6.559700705111027e-05,0.008099198341369629,0.8500749625187406,False
7,0.65,0.0,0.65,0.5438215004845212,0.625,0.6575,0.6090634966933514,0.31499999999999995,10.48694859350105,0.7049913541440499,0.31581107147925447,0.7,0.7625,0.9237040760417913,0.5249999999999999,0.0002091781352646649,0.014462991617619991,0.08895552223888056,False
8,0.65,0.0,,0.1764972515416079,0.375,0.36,-0.4545072775395035,-0.28,6.443414430494024,-0.25805898872761046,0.22342261929849408,0.575,0.6950000000000001,0.6918524853933389,0.3899999999999999,0.00036662688944488764,0.01914750412106514,0.0009995002498750624,False
9,0.55,0.0,0.475,0.22298324971071182,0.45,0.4,-0.3595235380840411,-0.19999999999999996,4.823716939255423,-0.23642887588464978,0.11813052462136098,0.425,0.44,-0.13784198184601398,-0.12,0.0001605174911674112,0.012669549323618412,0.36281859070464767,False
10,0.425,0.0,0.5,0.2987380436121646,0.625,0.6225,0.32898414950481436,0.2450000000000001,6.253220507668489,0.23077884775351204,0.039507529623363825,0.55,0.5675,0.10697707715778712,0.135,0.00017009572184178978,0.01304207555949688,0.3473263368315842,False
11,0.7749999999999999,0.2,0.5,0.27155872297955036,0.6499999999999999,0.745,0.43735122861068526,0.49,8.682407722644827,0.2112791403262348,0.09671411019002601,0.55,0.5449999999999999,0.18101628934043246,0.09000000000000008,0.00011839949002023786,0.0108811529353261,0.4897551224387806,False
12,0.6499999999999999,0.0,,0.22428693749243317,0.375,0.4125,-0.15446106848115385,-0.17500000000000004,1.7609782954203475,-0.19505743231803732,0.10531595114138877,0.575,0.5925,0.24490187959288467,0.18500000000000005,0.00012049988436046988,0.0109772440046072,0.45827086456771615,False
13,0.5,0.0,,0.18411010525641747,0.6499999999999999,0.6499999999999999,0.5382542630952141,0.30000000000000004,9.235841813712568,-0.09189352885309625,0.038056344845180036,0.55,0.5225,0.1152225918180464,0.04499999999999993,8.812233136268333e-05,0.009387349709868431,0.41829085457271364,False
