separation_metric,performance_metric,method,estimate,exact_permutation_p,permutation_method,bootstrap_ci_low,bootstrap_ci_high,loo_min,loo_max,loo_same_sign,same_dataset_association,n_subjects,holm_p
physiology_mean_abs_g,locked_shallow_ba,spearman,0.33427255957623303,0.02014899255037248,Monte Carlo centered-performance sign flips (20000 iterations),0.05870664846308584,0.5674639703392046,0.293948480416132,0.37387279891064196,True,True,50,0.1007449627518624
physiology_mean_abs_g,locked_shallow_ba,kendall,0.250588005516294,0.012449377531123443,Monte Carlo centered-performance sign flips (20000 iterations),0.06000085262962753,0.4417853785118328,0.22035050695019778,0.27659243871004924,True,True,50,0.07469626518674066
riemann_separation,riemann_ba,spearman,0.3806898726480422,0.02269886505674716,Monte Carlo centered-performance sign flips (20000 iterations),0.049035109692821675,0.6609024300815063,0.34188493512339535,0.4337498877687601,True,True,50,0.1007449627518624
riemann_separation,riemann_ba,kendall,0.28161423321925655,0.022198890055497224,Monte Carlo centered-performance sign flips (20000 iterations),0.0339414116565445,0.5132665390072813,0.2509457330439085,0.32065288111166085,True,True,50,0.1007449627518624
microstate_mean_abs_difference,locked_shallow_ba,spearman,0.25539655538022865,0.06864656767161642,Monte Carlo centered-performance sign flips (20000 iterations),-0.0248234517046685,0.5099684141859547,0.2140178132466097,0.2950735441894714,True,True,50,0.13729313534323284
microstate_mean_abs_difference,locked_shallow_ba,kendall,0.16872925704763797,0.07244637768111595,Monte Carlo centered-performance sign flips (20000 iterations),-0.02807659538481453,0.35669942298098156,0.13848114863668556,0.19596388958021543,True,True,50,0.13729313534323284
sjepa_separation,sjepa_ba,spearman,0.44109181236246664,0.0055997200139993,Monte Carlo centered-performance sign flips (20000 iterations),0.1677939499129152,0.6662407589741192,0.40586860758597837,0.5020107930447855,True,True,50,0.0447977601119944
sjepa_separation,sjepa_ba,kendall,0.32100425507838,0.006149692515374231,Monte Carlo centered-performance sign flips (20000 iterations),0.10451316424908552,0.51044350025647,0.29137303411999305,0.36515966768225844,True,True,50,0.0447977601119944
