subject_id,balanced_accuracy,auc,margin_hedges_g,margin_rank_biserial,margin_centroid_distance,mean_foldlocal_distance_contrast
1,0.35,0.34,-0.565136570728456,-0.31999999999999995,6.73374278761344,-0.15764149344882578
2,0.5,0.5225,-0.13295044789028146,0.04499999999999993,2.096480328966215,-0.0797060000649529
3,0.35,0.4425,-0.11336438957631649,-0.11499999999999999,1.7191750321533932,-0.12505336543718007
4,0.375,0.37250000000000005,-0.4996418943785841,-0.255,7.049618043751488,-0.3388858460089922
5,0.625,0.63,0.44695125597292035,0.26,4.939639002957856,0.13375527644206633
6,0.55,0.4375,-0.2564479736894553,-0.125,3.5822325750218695,-0.3331954939337277
7,0.625,0.6575,0.6090634966933514,0.31499999999999995,10.48694859350105,0.7049913541440499
8,0.375,0.36,-0.4545072775395035,-0.28,6.443414430494024,-0.25805898872761046
9,0.45,0.4,-0.3595235380840411,-0.19999999999999996,4.823716939255423,-0.23642887588464978
10,0.625,0.6225,0.32898414950481436,0.2450000000000001,6.253220507668489,0.23077884775351204
11,0.6499999999999999,0.745,0.43735122861068526,0.49,8.682407722644827,0.2112791403262348
12,0.375,0.4125,-0.15446106848115385,-0.17500000000000004,1.7609782954203475,-0.19505743231803732
13,0.6499999999999999,0.6499999999999999,0.5382542630952141,0.30000000000000004,9.235841813712568,-0.09189352885309625
14,0.30000000000000004,0.2575,-0.7684159414559676,-0.485,9.696464191123393,-0.22398181011060467
15,0.475,0.4425,-0.2746678943379308,-0.11499999999999999,4.466314587091799,-0.036926937483226084
16,0.325,0.26249999999999996,-0.2530947751196644,-0.475,5.498726616391763,-0.22848592354640246
17,0.525,0.485,-0.12892089384187283,-0.030000000000000027,2.184661978666877,0.043257508121899234
18,0.45,0.46749999999999997,-0.05116127117380643,-0.06499999999999995,0.7347447350894705,-0.04133886867796499
19,0.525,0.4925,-0.037844452968681074,-0.015000000000000013,0.513748283984858,0.001721848411173932
20,0.85,0.84,1.3334193980601776,0.6799999999999999,27.86727300191215,1.0227785637048428
21,0.575,0.5675,0.3005796174343986,0.135,4.0774760339435385,-0.2587252351001345
22,0.675,0.7224999999999999,0.7905425655578449,0.44500000000000006,14.293148771048598,0.43194927101649033
23,0.85,0.9025,1.6602810096361358,0.8049999999999999,44.92901260740908,1.302286932676472
24,0.575,0.6649999999999999,0.616668486012584,0.33000000000000007,8.822246389465352,0.20372067719765358
25,0.55,0.575,0.2860199996108286,0.1499999999999999,5.398097580692735,0.2526795199703165
26,0.6000000000000001,0.515,0.0055243186589095895,0.030000000000000027,0.07929970778904005,0.1996755175193826
27,0.425,0.405,-0.27872638135674016,-0.18999999999999995,3.5644603639413512,-0.02323358813342482
28,0.775,0.8725,1.6008965057074982,0.7450000000000001,28.014295611811647,0.7012311603635678
29,0.55,0.6275,0.51029079977779,0.2549999999999999,7.70703475967015,0.17502267470642333
30,0.625,0.5925,0.06523575736547195,0.18500000000000005,1.1637229839267784,0.019816880459427155
31,0.475,0.41,-0.326510101903605,-0.18000000000000005,4.985907808944423,-0.06140160014458127
32,0.3,0.3025,-0.6481741221389997,-0.395,8.300467835724454,-0.22157079446721267
33,0.525,0.55,0.09381190817139334,0.10000000000000009,1.309780105949592,-0.19927154736904681
34,0.35,0.3125,-0.6611534439298677,-0.375,9.368266605246472,-0.2850955599109792
35,0.475,0.38,-0.376045709774421,-0.24,4.153371092626334,-0.23495407976726343
36,0.475,0.52,0.18619767843563195,0.040000000000000036,2.530070674715677,-0.04960181040086353
37,0.7250000000000001,0.7725000000000001,0.9664583028874035,0.5449999999999999,18.374926436015173,0.32469367706164814
38,0.675,0.5675,0.258327366055711,0.135,5.4692371242704585,0.3271127206296102
39,0.5,0.3875,-0.5262504179406143,-0.22499999999999998,6.5860961503843445,-0.15668426996844015
40,0.75,0.745,0.8923197496291155,0.49,21.40734164469555,0.6736232526927969
41,0.575,0.48000000000000004,-0.19055774595040303,-0.040000000000000036,2.6215978181056236,-0.057898018867042246
42,0.575,0.6125,-0.15159848750876564,0.2250000000000001,4.136336456955141,-0.014440216185859578
43,0.525,0.515,0.014457063298304691,0.030000000000000027,0.17165277080159425,-0.01648975265581787
44,0.55,0.605,0.3959490327582235,0.20999999999999996,4.595235046426759,0.0865398031467541
45,0.65,0.68,0.4883432690505519,0.3600000000000001,9.137584703001504,-0.06223513727584358
46,0.725,0.7275,0.6959416525362031,0.45500000000000007,9.472422861702146,0.1415675326431145
47,0.575,0.6425000000000001,0.5455071370518362,0.2849999999999999,8.620400136539628,0.007831984684859617
48,0.35,0.24,-1.0107016221411527,-0.52,12.644266875686528,-0.45058232113780294
49,0.475,0.4225,-0.26340614610023316,-0.15500000000000003,3.320806746245857,-0.12384600797403489
50,0.625,0.6725,0.6030081203443448,0.345,8.863834355259566,0.08002161514508979
