subject_id,balanced_accuracy,auc,margin_hedges_g,margin_rank_biserial,linear_mmd_sq,centroid_distance,linear_mmd_permutation_p
38,0.6499999999999999,0.6825,0.44681056640796935,0.365,0.00015603392967022955,0.012491353787481785,0.09945027486256872
39,0.525,0.66,0.5556645540502781,0.32000000000000006,0.0001167274167528376,0.01080404594540596,0.48375812093953025
40,0.65,0.6225,0.3004313066383437,0.2450000000000001,0.00010767471394501626,0.01037664245814085,0.4657671164417791
41,0.525,0.5049999999999999,-0.027918088301393328,0.010000000000000009,0.00019098429766017944,0.013819706626236439,0.3663168415792104
42,0.575,0.5875,0.31206465598076066,0.17500000000000004,0.00017629709327593446,0.013277691788971424,0.14342828585707146
43,0.42500000000000004,0.3975,-0.42820614692674974,-0.20499999999999996,0.00014759933401364833,0.012149046175181866,0.7211394302848576
44,0.6000000000000001,0.5925,0.2660116234663919,0.18500000000000005,0.0001370086392853409,0.011705068871378899,0.5027486256871564
45,0.525,0.51,0.04367285409791909,0.020000000000000018,9.282834071200341e-05,0.009634746238589287,0.6926536731634183
46,0.575,0.5449999999999999,0.04983513865161028,0.09000000000000008,0.00011245419591432437,0.010604442097246647,0.7891054472763618
47,0.42500000000000004,0.41500000000000004,-0.3042319687121653,-0.17000000000000004,8.149644418153912e-05,0.009027537889778614,0.8730634682658671
48,0.575,0.595,0.2080968690626633,0.18999999999999995,0.00018863144214265049,0.01373431645333767,0.12443778110944528
49,0.3,0.1975,-1.160810850172285,-0.605,4.377056393423118e-05,0.006615932565182447,0.9710144927536232
50,0.625,0.6749999999999999,0.6213925238150491,0.3500000000000001,0.00021180679323151708,0.014553583227097988,0.0704647676161919
