repeat,swap,subject_id,branch,train_separation,heldout_ba,train_indices,test_indices
0,0,1,physiology,3.5181706232560015,0.4,"[16, 8, 14, 34, 12, 36, 6, 24, 30, 20, 37, 21, 7, 13, 23, 1, 17, 33, 29, 3]","[0, 2, 4, 5, 9, 10, 11, 15, 18, 19, 22, 25, 26, 27, 28, 31, 32, 35, 38, 39]"
0,1,1,physiology,1.5586395490584652,0.35,"[0, 2, 4, 5, 9, 10, 11, 15, 18, 19, 22, 25, 26, 27, 28, 31, 32, 35, 38, 39]","[16, 8, 14, 34, 12, 36, 6, 24, 30, 20, 37, 21, 7, 13, 23, 1, 17, 33, 29, 3]"
0,0,1,riemann,6.685683694549392,0.35,"[16, 8, 14, 34, 12, 36, 6, 24, 30, 20, 37, 21, 7, 13, 23, 1, 17, 33, 29, 3]","[0, 2, 4, 5, 9, 10, 11, 15, 18, 19, 22, 25, 26, 27, 28, 31, 32, 35, 38, 39]"
0,1,1,riemann,6.971322911949335,0.45,"[0, 2, 4, 5, 9, 10, 11, 15, 18, 19, 22, 25, 26, 27, 28, 31, 32, 35, 38, 39]","[16, 8, 14, 34, 12, 36, 6, 24, 30, 20, 37, 21, 7, 13, 23, 1, 17, 33, 29, 3]"
0,0,1,sjepa,3.7979044914245605,0.55,"[0, 2, 34, 12, 28, 14, 36, 24, 16, 6, 13, 5, 31, 21, 29, 33, 27, 25, 23, 37]","[1, 3, 4, 7, 8, 9, 10, 11, 15, 17, 18, 19, 20, 22, 26, 30, 32, 35, 38, 39]"
0,1,1,sjepa,3.4170708656311035,0.6000000000000001,"[1, 3, 4, 7, 8, 9, 10, 11, 15, 17, 18, 19, 20, 22, 26, 30, 32, 35, 38, 39]","[0, 2, 34, 12, 28, 14, 36, 24, 16, 6, 13, 5, 31, 21, 29, 33, 27, 25, 23, 37]"
0,0,2,physiology,2.4811243651834487,0.45,"[10, 12, 2, 4, 34, 32, 36, 8, 24, 16, 3, 1, 7, 15, 31, 29, 25, 39, 9, 5]","[0, 6, 11, 13, 14, 17, 18, 19, 20, 21, 22, 23, 26, 27, 28, 30, 33, 35, 37, 38]"
0,1,2,physiology,4.136412804051364,0.44999999999999996,"[0, 6, 11, 13, 14, 17, 18, 19, 20, 21, 22, 23, 26, 27, 28, 30, 33, 35, 37, 38]","[10, 12, 2, 4, 34, 32, 36, 8, 24, 16, 3, 1, 7, 15, 31, 29, 25, 39, 9, 5]"
0,0,2,riemann,6.91930945070944,0.44999999999999996,"[10, 12, 2, 4, 34, 32, 36, 8, 24, 16, 3, 1, 7, 15, 31, 29, 25, 39, 9, 5]","[0, 6, 11, 13, 14, 17, 18, 19, 20, 21, 22, 23, 26, 27, 28, 30, 33, 35, 37, 38]"
0,1,2,riemann,8.302276043014047,0.44999999999999996,"[0, 6, 11, 13, 14, 17, 18, 19, 20, 21, 22, 23, 26, 27, 28, 30, 33, 35, 37, 38]","[10, 12, 2, 4, 34, 32, 36, 8, 24, 16, 3, 1, 7, 15, 31, 29, 25, 39, 9, 5]"
0,0,2,sjepa,3.5974743366241455,0.6000000000000001,"[12, 24, 22, 0, 30, 26, 2, 36, 6, 8, 5, 15, 9, 23, 21, 27, 35, 33, 11, 17]","[1, 3, 4, 7, 10, 13, 14, 16, 18, 19, 20, 25, 28, 29, 31, 32, 34, 37, 38, 39]"
0,1,2,sjepa,2.475325584411621,0.55,"[1, 3, 4, 7, 10, 13, 14, 16, 18, 19, 20, 25, 28, 29, 31, 32, 34, 37, 38, 39]","[12, 24, 22, 0, 30, 26, 2, 36, 6, 8, 5, 15, 9, 23, 21, 27, 35, 33, 11, 17]"
0,0,3,physiology,2.8206322800784664,0.5,"[34, 14, 10, 38, 4, 24, 16, 6, 22, 28, 25, 3, 39, 5, 35, 37, 17, 11, 29, 19]","[0, 1, 2, 7, 8, 9, 12, 13, 15, 18, 20, 21, 23, 26, 27, 30, 31, 32, 33, 36]"
0,1,3,physiology,1.7996537503128076,0.44999999999999996,"[0, 1, 2, 7, 8, 9, 12, 13, 15, 18, 20, 21, 23, 26, 27, 30, 31, 32, 33, 36]","[34, 14, 10, 38, 4, 24, 16, 6, 22, 28, 25, 3, 39, 5, 35, 37, 17, 11, 29, 19]"
