dataset_name,subject_id,fold_id,channel_index,channel_name,abs_mean_weight,signed_mean_weight,l2_weight,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed
Liu2024_SourceMAT,1,2,3,F3,0.03713664,-0.02497498,0.0448183,0.5,0.5,"[6, 2]",0.75,False,0.03226707,0.00452084,0.0276124,True
Liu2024_SourceMAT,1,2,4,F4,0.04104753,0.03330361,0.05555394,0.5,0.5,"[6, 2]",0.75,False,0.03226707,0.00452084,0.0276124,True
Liu2024_SourceMAT,1,2,5,F7,0.08647241,0.03496273,0.09283727,0.5,0.5,"[6, 2]",0.75,False,0.03226707,0.00452084,0.0276124,True
Liu2024_SourceMAT,1,2,6,F8,0.09982368,0.02416128,0.10974563,0.5,0.5,"[6, 2]",0.75,False,0.03226707,0.00452084,0.0276124,True
Liu2024_SourceMAT,1,2,7,FCz,0.11715133,0.07075065,0.12485269,0.5,0.5,"[6, 2]",0.75,False,0.03226707,0.00452084,0.0276124,True
Liu2024_SourceMAT,1,2,8,FC3,0.11424391,0.01840259,0.11583972,0.5,0.5,"[6, 2]",0.75,False,0.03226707,0.00452084,0.0276124,True
Liu2024_SourceMAT,1,2,9,FC4,0.16255261,-0.0053255,0.16359532,0.5,0.5,"[6, 2]",0.75,False,0.03226707,0.00452084,0.0276124,True
Liu2024_SourceMAT,1,2,10,FT7,0.12573871,0.04713881,0.13366488,0.5,0.5,"[6, 2]",0.75,False,0.03226707,0.00452084,0.0276124,True
Liu2024_SourceMAT,1,2,11,FT8,0.09478587,-0.03269664,0.10089915,0.5,0.5,"[6, 2]",0.75,False,0.03226707,0.00452084,0.0276124,True
Liu2024_SourceMAT,1,2,12,Cz,0.07650435,0.02465024,0.08385424,0.5,0.5,"[6, 2]",0.75,False,0.03226707,0.00452084,0.0276124,True
Liu2024_SourceMAT,1,2,13,C3,0.1216118,0.09067041,0.13110958,0.5,0.5,"[6, 2]",0.75,False,0.03226707,0.00452084,0.0276124,True
Liu2024_SourceMAT,1,2,14,C4,0.09618767,-0.00456052,0.11624555,0.5,0.5,"[6, 2]",0.75,False,0.03226707,0.00452084,0.0276124,True
Liu2024_SourceMAT,1,2,15,T7,0.11291089,0.09131845,0.12277479,0.5,0.5,"[6, 2]",0.75,False,0.03226707,0.00452084,0.0276124,True
Liu2024_SourceMAT,1,2,16,T8,0.07141934,-0.01318701,0.0793039,0.5,0.5,"[6, 2]",0.75,False,0.03226707,0.00452084,0.0276124,True
Liu2024_SourceMAT,1,2,17,CP3,0.07600407,-0.0749595,0.0948334,0.5,0.5,"[6, 2]",0.75,False,0.03226707,0.00452084,0.0276124,True
Liu2024_SourceMAT,1,2,18,CP4,0.11614887,0.05712528,0.13332051,0.5,0.5,"[6, 2]",0.75,False,0.03226707,0.00452084,0.0276124,True
Liu2024_SourceMAT,1,2,19,TP7,0.09530194,-0.00731577,0.10236295,0.5,0.5,"[6, 2]",0.75,False,0.03226707,0.00452084,0.0276124,True
