subject_id,fold_id,feature_set,cv_scheme,classifier,accuracy,balanced_accuracy,train_accuracy,train_balanced_accuracy,left_recall,right_recall,confusion_matrix,collapse_flag,collapse_ratio,pred_counts,y_train_counts,y_test_counts,n_train,n_test,meta_sjepa_dim,meta_sjepa_pca,meta_sjepa_pca_var,meta_fused_dim
1,0,sjepa,sjepa_5fold,shrinkage_lda,0.875,0.875,0.625,0.625,1.0,0.75,"[[4, 0], [1, 3]]",False,0.625,"[5, 3]","[16, 16]","[4, 4]",32,8,128,15,0.8759557008743286,15
1,1,sjepa,sjepa_5fold,shrinkage_lda,0.375,0.375,0.84375,0.84375,0.25,0.5,"[[1, 3], [2, 2]]",False,0.625,"[3, 5]","[16, 16]","[4, 4]",32,8,128,15,0.9115281105041504,15
1,2,sjepa,sjepa_5fold,shrinkage_lda,0.625,0.625,0.6875,0.6875,0.25,1.0,"[[1, 3], [0, 4]]",False,0.875,"[1, 7]","[16, 16]","[4, 4]",32,8,128,15,0.9131724238395691,15
1,3,sjepa,sjepa_5fold,shrinkage_lda,0.625,0.625,0.8125,0.8125,1.0,0.25,"[[4, 0], [3, 1]]",False,0.875,"[7, 1]","[16, 16]","[4, 4]",32,8,128,15,0.9087143540382385,15
1,4,sjepa,sjepa_5fold,shrinkage_lda,0.375,0.375,0.875,0.875,0.5,0.25,"[[2, 2], [3, 1]]",False,0.625,"[5, 3]","[16, 16]","[4, 4]",32,8,128,15,0.9192224740982056,15
2,0,sjepa,sjepa_5fold,shrinkage_lda,0.375,0.375,0.84375,0.84375,0.25,0.5,"[[1, 3], [2, 2]]",False,0.625,"[3, 5]","[16, 16]","[4, 4]",32,8,128,15,0.8774704337120056,15
2,1,sjepa,sjepa_5fold,shrinkage_lda,0.5,0.5,0.84375,0.84375,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,128,15,0.8806208968162537,15
2,2,sjepa,sjepa_5fold,shrinkage_lda,0.5,0.5,0.8125,0.8125,0.75,0.25,"[[3, 1], [3, 1]]",False,0.75,"[6, 2]","[16, 16]","[4, 4]",32,8,128,15,0.8796613812446594,15
2,3,sjepa,sjepa_5fold,shrinkage_lda,0.375,0.375,0.71875,0.71875,0.25,0.5,"[[1, 3], [2, 2]]",False,0.625,"[3, 5]","[16, 16]","[4, 4]",32,8,128,15,0.883401095867157,15
2,4,sjepa,sjepa_5fold,shrinkage_lda,0.375,0.375,0.6875,0.6875,0.5,0.25,"[[2, 2], [3, 1]]",False,0.625,"[5, 3]","[16, 16]","[4, 4]",32,8,128,15,0.8728513717651367,15
3,0,sjepa,sjepa_5fold,shrinkage_lda,0.5,0.5,0.71875,0.71875,0.25,0.75,"[[1, 3], [1, 3]]",False,0.75,"[2, 6]","[16, 16]","[4, 4]",32,8,128,15,0.8981460928916931,15
3,1,sjepa,sjepa_5fold,shrinkage_lda,0.375,0.375,0.875,0.875,0.5,0.25,"[[2, 2], [3, 1]]",False,0.625,"[5, 3]","[16, 16]","[4, 4]",32,8,128,15,0.9106654524803162,15
3,2,sjepa,sjepa_5fold,shrinkage_lda,0.625,0.625,0.75,0.75,0.75,0.5,"[[3, 1], [2, 2]]",False,0.625,"[5, 3]","[16, 16]","[4, 4]",32,8,128,15,0.9037811756134033,15
3,3,sjepa,sjepa_5fold,shrinkage_lda,0.625,0.625,0.75,0.75,0.25,1.0,"[[1, 3], [0, 4]]",False,0.875,"[1, 7]","[16, 16]","[4, 4]",32,8,128,15,0.8861353397369385,15
3,4,sjepa,sjepa_5fold,shrinkage_lda,0.5,0.5,0.875,0.875,0.25,0.75,"[[1, 3], [1, 3]]",False,0.75,"[2, 6]","[16, 16]","[4, 4]",32,8,128,15,0.9084436893463135,15
4,0,sjepa,sjepa_5fold,shrinkage_lda,0.5,0.5,0.71875,0.71875,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,128,15,0.8847828507423401,15
4,1,sjepa,sjepa_5fold,shrinkage_lda,0.5,0.5,0.90625,0.90625,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,128,15,0.8741716146469116,15
4,2,sjepa,sjepa_5fold,shrinkage_lda,0.5,0.5,0.75,0.75,0.25,0.75,"[[1, 3], [1, 3]]",False,0.75,"[2, 6]","[16, 16]","[4, 4]",32,8,128,15,0.8876792192459106,15
4,3,sjepa,sjepa_5fold,shrinkage_lda,0.75,0.75,0.75,0.75,0.75,0.75,"[[3, 1], [1, 3]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,128,15,0.8771179914474487,15
4,4,sjepa,sjepa_5fold,shrinkage_lda,0.375,0.375,0.90625,0.90625,0.25,0.5,"[[1, 3], [2, 2]]",False,0.625,"[3, 5]","[16, 16]","[4, 4]",32,8,128,15,0.8863816261291504,15
5,0,sjepa,sjepa_5fold,shrinkage_lda,0.375,0.375,0.90625,0.90625,0.25,0.5,"[[1, 3], [2, 2]]",False,0.625,"[3, 5]","[16, 16]","[4, 4]",32,8,128,15,0.8036671280860901,15
5,1,sjepa,sjepa_5fold,shrinkage_lda,0.75,0.75,0.875,0.875,0.5,1.0,"[[2, 2], [0, 4]]",False,0.75,"[2, 6]","[16, 16]","[4, 4]",32,8,128,15,0.8044307231903076,15
5,2,sjepa,sjepa_5fold,shrinkage_lda,0.5,0.5,0.84375,0.84375,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,128,15,0.8104878067970276,15
5,3,sjepa,sjepa_5fold,shrinkage_lda,0.25,0.25,0.8125,0.8125,0.0,0.5,"[[0, 4], [2, 2]]",False,0.75,"[2, 6]","[16, 16]","[4, 4]",32,8,128,15,0.8071500658988953,15
5,4,sjepa,sjepa_5fold,shrinkage_lda,0.5,0.5,0.8125,0.8125,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,128,15,0.809476375579834,15
6,0,sjepa,sjepa_5fold,shrinkage_lda,0.25,0.25,0.78125,0.78125,0.0,0.5,"[[0, 4], [2, 2]]",False,0.75,"[2, 6]","[16, 16]","[4, 4]",32,8,128,15,0.9198883175849915,15
6,1,sjepa,sjepa_5fold,shrinkage_lda,0.5,0.5,0.6875,0.6875,1.0,0.0,"[[4, 0], [4, 0]]",True,1.0,"[8, 0]","[16, 16]","[4, 4]",32,8,128,15,0.9186999201774597,15
6,2,sjepa,sjepa_5fold,shrinkage_lda,0.125,0.125,0.84375,0.84375,0.25,0.0,"[[1, 3], [4, 0]]",False,0.625,"[5, 3]","[16, 16]","[4, 4]",32,8,128,15,0.9245705008506775,15
6,3,sjepa,sjepa_5fold,shrinkage_lda,0.375,0.375,0.71875,0.71875,0.75,0.0,"[[3, 1], [4, 0]]",False,0.875,"[7, 1]","[16, 16]","[4, 4]",32,8,128,15,0.9122893214225769,15
6,4,sjepa,sjepa_5fold,shrinkage_lda,0.375,0.375,0.6875,0.6875,0.75,0.0,"[[3, 1], [4, 0]]",False,0.875,"[7, 1]","[16, 16]","[4, 4]",32,8,128,15,0.9204358458518982,15
7,0,sjepa,sjepa_5fold,shrinkage_lda,0.875,0.875,0.96875,0.96875,1.0,0.75,"[[4, 0], [1, 3]]",False,0.625,"[5, 3]","[16, 16]","[4, 4]",32,8,128,15,0.899840235710144,15
7,1,sjepa,sjepa_5fold,shrinkage_lda,0.875,0.875,1.0,1.0,0.75,1.0,"[[3, 1], [0, 4]]",False,0.625,"[3, 5]","[16, 16]","[4, 4]",32,8,128,15,0.9263128042221069,15
7,2,sjepa,sjepa_5fold,shrinkage_lda,0.5,0.5,0.9375,0.9375,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,128,15,0.933178186416626,15
7,3,sjepa,sjepa_5fold,shrinkage_lda,0.75,0.75,0.96875,0.96875,0.75,0.75,"[[3, 1], [1, 3]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,128,15,0.9377091526985168,15
7,4,sjepa,sjepa_5fold,shrinkage_lda,0.875,0.875,0.90625,0.90625,0.75,1.0,"[[3, 1], [0, 4]]",False,0.625,"[3, 5]","[16, 16]","[4, 4]",32,8,128,15,0.9383327960968018,15
8,0,sjepa,sjepa_5fold,shrinkage_lda,0.75,0.75,0.84375,0.84375,0.75,0.75,"[[3, 1], [1, 3]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,128,15,0.9280542731285095,15
8,1,sjepa,sjepa_5fold,shrinkage_lda,0.375,0.375,0.875,0.875,0.0,0.75,"[[0, 4], [1, 3]]",False,0.875,"[1, 7]","[16, 16]","[4, 4]",32,8,128,15,0.9228187203407288,15
8,2,sjepa,sjepa_5fold,shrinkage_lda,0.375,0.375,0.75,0.75,0.25,0.5,"[[1, 3], [2, 2]]",False,0.625,"[3, 5]","[16, 16]","[4, 4]",32,8,128,15,0.9260358214378357,15
8,3,sjepa,sjepa_5fold,shrinkage_lda,0.375,0.375,0.75,0.75,0.25,0.5,"[[1, 3], [2, 2]]",False,0.625,"[3, 5]","[16, 16]","[4, 4]",32,8,128,15,0.924877941608429,15
8,4,sjepa,sjepa_5fold,shrinkage_lda,0.375,0.375,0.78125,0.78125,0.75,0.0,"[[3, 1], [4, 0]]",False,0.875,"[7, 1]","[16, 16]","[4, 4]",32,8,128,15,0.9303447008132935,15
