method,mean_balanced_accuracy,std_balanced_accuracy,mean_accuracy,collapse_rate (Q3),pos_class_pred_rate (Q7),subject_balacc_std,subject_balacc_min,mean_confidence (Q8),frac_conf>0.9 (Q8)
csp_lda,0.55,0.21289924132443905,0.55,0.02608695652173913,0.45869565217391306,0.13673204516101206,0.3,0.7624859161739131,0.3076086956521739
logreg_bandpower,0.5415,0.19548721185796272,0.5415,0.016,0.5055,0.13253395791267988,0.325,0.7273053623999999,0.166
fbcsp_lda,0.5325,0.17573061770789972,0.5325,0.008,0.5095,0.08081614937622307,0.4,0.98465867824,0.952
riemann_mdm,0.5185,0.2027196339775701,0.5185,0.04,0.5235,0.14703826032703188,0.25,0.8788921032799999,0.652
