mi_window_start_s,subject_id,mean_balanced_accuracy
2.0,21,0.3
2.0,22,0.575
2.0,23,0.5
2.0,24,0.6
2.0,25,0.375
2.0,26,0.575
2.0,27,0.55
2.0,28,0.45
2.0,29,0.6
2.0,30,0.725
2.0,31,0.475
2.0,32,0.375
2.0,33,0.525
2.0,34,0.6
2.0,35,0.5
2.0,36,0.625
2.0,37,0.45
2.0,38,0.525
2.0,39,0.675
2.0,40,0.775
2.0,41,0.575
2.0,42,0.45
2.0,43,0.55
2.0,44,0.5
2.0,45,0.925
2.0,46,0.25
2.0,47,0.425
2.0,48,0.475
2.0,49,0.425
2.0,50,0.775
2.5,1,0.575
2.5,2,0.5
2.5,3,0.425
2.5,4,0.35
2.5,5,0.45
2.5,6,0.45
2.5,7,0.825
2.5,8,0.7
2.5,9,0.625
2.5,10,0.525
2.5,11,0.65
2.5,12,0.5
2.5,13,0.725
2.5,14,0.525
2.5,15,0.55
2.5,16,0.525
2.5,17,0.375
2.5,18,0.625
2.5,19,0.475
2.5,20,0.65
2.5,21,0.375
2.5,22,0.65
2.5,23,0.575
2.5,24,0.575
2.5,25,0.4
2.5,26,0.525
2.5,27,0.425
2.5,28,0.525
2.5,29,0.6
2.5,30,0.8
2.5,31,0.45
2.5,32,0.475
2.5,33,0.55
2.5,34,0.65
2.5,35,0.55
2.5,36,0.625
2.5,37,0.4
2.5,38,0.65
2.5,39,0.6
2.5,40,0.7
2.5,41,0.6
2.5,42,0.625
2.5,43,0.375
2.5,44,0.5
2.5,45,0.875
2.5,46,0.275
2.5,47,0.45
2.5,48,0.4
2.5,49,0.4
2.5,50,0.775
3.0,1,0.625
3.0,2,0.525
3.0,3,0.4
3.0,4,0.225
3.0,5,0.425
3.0,6,0.4
3.0,7,0.875
3.0,8,0.75
3.0,9,0.575
3.0,10,0.45
3.0,11,0.725
3.0,12,0.5
3.0,13,0.7
3.0,14,0.525
3.0,15,0.55
3.0,16,0.475
3.0,17,0.325
3.0,18,0.55
3.0,19,0.425
3.0,20,0.675
3.0,21,0.55
3.0,22,0.725
3.0,23,0.525
3.0,24,0.575
3.0,25,0.375
3.0,26,0.475
3.0,27,0.45
3.0,28,0.475
3.0,29,0.55
3.0,30,0.875
3.0,31,0.25
3.0,32,0.475
3.0,33,0.475
3.0,34,0.625
3.0,35,0.525
3.0,36,0.65
3.0,37,0.45
3.0,38,0.525
3.0,39,0.625
3.0,40,0.7
3.0,41,0.375
3.0,42,0.725
3.0,43,0.325
3.0,44,0.475
3.0,45,0.825
3.0,46,0.3
3.0,47,0.35
3.0,48,0.35
3.0,49,0.55
3.0,50,0.775
