subject,fold,train_n,test_n,overlap_ok,riemann_acc,riemann_bacc,riemann_collapse,sjepa_acc,sjepa_bacc,sjepa_collapse,fusion_acc,fusion_bacc,fusion_collapse
1,0.0,24.0,16.0,1.0,0.6875,0.6875,0.0,0.625,0.625,0.0,0.375,0.375,0.0
3,0.0,24.0,16.0,1.0,0.375,0.375,0.0,0.625,0.625,0.0,0.375,0.375,0.0
