subject,n_trials,shipped_fb_leaky,twfb_leaky,fixed_8_12,fixed_8_20,fixed_8_30,fixed_12_20,fixed_15_20,fixed_15_30,fixed_20_30,fixed_8_15
8,40,0.6666666666666666,0.7291666666666666,0.4583333333333333,0.4375,0.3958333333333333,0.5,0.3125,0.4583333333333333,0.375,0.4166666666666667
13,40,0.7291666666666666,0.7916666666666666,0.5833333333333334,0.5833333333333334,0.625,0.4375,0.4791666666666667,0.5833333333333334,0.5416666666666666,0.5833333333333334
14,40,0.6458333333333334,0.75,0.5416666666666666,0.5208333333333334,0.5625,0.5625,0.625,0.6041666666666666,0.5,0.5416666666666666
