subject_id,fold_id,feature_set,cv_scheme,classifier,accuracy,balanced_accuracy,train_accuracy,train_balanced_accuracy,left_recall,right_recall,confusion_matrix,collapse_flag,collapse_ratio,pred_counts,y_train_counts,y_test_counts,n_train,n_test,meta_sjepa_dim,meta_sjepa_pca,meta_sjepa_pca_var,meta_riemann_dim_pca,meta_riemann_pca_var,meta_fused_dim
1,0,sjepa+riemann,sjepa_5fold,logistic_l2,0.5,0.5,0.71875,0.71875,0.25,0.75,"[[1, 3], [1, 3]]",False,0.75,"[2, 6]","[16, 16]","[4, 4]",32,8,64,15,0.9463505744934082,15,0.7216160472771423,30
1,1,sjepa+riemann,sjepa_5fold,logistic_l2,0.625,0.625,0.75,0.75,0.25,1.0,"[[1, 3], [0, 4]]",False,0.875,"[1, 7]","[16, 16]","[4, 4]",32,8,64,15,0.9496192932128906,15,0.7239308840765243,30
1,2,sjepa+riemann,sjepa_5fold,logistic_l2,0.375,0.375,0.875,0.875,0.5,0.25,"[[2, 2], [3, 1]]",False,0.625,"[5, 3]","[16, 16]","[4, 4]",32,8,64,15,0.9518300890922546,15,0.7181669222045057,30
1,3,sjepa+riemann,sjepa_5fold,logistic_l2,0.625,0.625,0.75,0.75,0.75,0.5,"[[3, 1], [2, 2]]",False,0.625,"[5, 3]","[16, 16]","[4, 4]",32,8,64,15,0.9533671140670776,15,0.6878847354256437,30
1,4,sjepa+riemann,sjepa_5fold,logistic_l2,0.125,0.125,0.84375,0.84375,0.25,0.0,"[[1, 3], [4, 0]]",False,0.625,"[5, 3]","[16, 16]","[4, 4]",32,8,64,15,0.9538242220878601,15,0.7181908303709748,30
2,0,sjepa+riemann,sjepa_5fold,logistic_l2,0.125,0.125,0.71875,0.71875,0.25,0.0,"[[1, 3], [4, 0]]",False,0.625,"[5, 3]","[16, 16]","[4, 4]",32,8,64,15,0.9354596138000488,15,0.7426963574718266,30
2,1,sjepa+riemann,sjepa_5fold,logistic_l2,0.25,0.25,0.84375,0.84375,0.25,0.25,"[[1, 3], [3, 1]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,64,15,0.9483813643455505,15,0.7724299378620575,30
2,2,sjepa+riemann,sjepa_5fold,logistic_l2,0.375,0.375,0.84375,0.84375,0.25,0.5,"[[1, 3], [2, 2]]",False,0.625,"[3, 5]","[16, 16]","[4, 4]",32,8,64,15,0.9429368376731873,15,0.7467923177301997,30
2,3,sjepa+riemann,sjepa_5fold,logistic_l2,0.375,0.375,0.65625,0.65625,0.5,0.25,"[[2, 2], [3, 1]]",False,0.625,"[5, 3]","[16, 16]","[4, 4]",32,8,64,15,0.9386204481124878,15,0.7625265261566374,30
2,4,sjepa+riemann,sjepa_5fold,logistic_l2,0.125,0.125,0.875,0.875,0.25,0.0,"[[1, 3], [4, 0]]",False,0.625,"[5, 3]","[16, 16]","[4, 4]",32,8,64,15,0.9335879683494568,15,0.7694443530544738,30
