subject_id,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,kappa_mean
41,0.5,0.07795119555779044,0.5,0.0
42,0.525,0.08936504412303006,0.525,0.05
43,0.525,0.1356568383008309,0.525,0.05
44,0.525,0.07336173692357924,0.525,0.05
45,0.475,0.11486707293408517,0.475,-0.05
46,0.4875,0.05743353646704259,0.4875,-0.025
47,0.44375,0.09524274542218715,0.44375,-0.1125
48,0.55625,0.06215180787573458,0.55625,0.1125
49,0.49375,0.019764235376052368,0.49375,-0.0125
50,0.49375,0.10395812458228873,0.49375,-0.0125
