subject,fold,window_start_s,sjepa_acc,sjepa_bacc,sjepa_collapse,riemann_acc,riemann_bacc,riemann_collapse,fusion_acc,fusion_bacc,fusion_collapse
1,4.5,1.1,0.58125,0.58125,0.0,0.45625,0.45625,0.0,0.475,0.475,0.0
2,4.5,0.8,0.56875,0.56875,0.0,0.36875,0.36875,0.0,0.375,0.375,0.0
3,4.5,0.9,0.4875,0.4875,0.0,0.6,0.6,0.0,0.6125,0.6125,0.0
4,4.5,1.1,0.5875,0.5875,0.0,0.56875,0.56875,0.0,0.5625,0.5625,0.0
5,4.5,0.1,0.54375,0.54375,0.0,0.50625,0.50625,0.0,0.50625,0.50625,0.0
6,4.5,0.7,0.40625,0.40625,0.0,0.43125,0.43125,0.0,0.43125,0.43125,0.0
7,4.5,1.3,0.70625,0.70625,0.0,0.64375,0.64375,0.0,0.6125,0.6125,0.0
8,4.5,0.6,0.525,0.525,0.0,0.475,0.475,0.0,0.4625,0.4625,0.0
9,4.5,0.9,0.5,0.5,0.0,0.54375,0.54375,0.0,0.56875,0.56875,0.0
10,4.5,0.7,0.64375,0.64375,0.0,0.48125,0.48125,0.0,0.53125,0.53125,0.0
11,4.5,1.2,0.49375,0.49375,0.0,0.5625,0.5625,0.0,0.5625,0.5625,0.0
12,4.5,1.2,0.43125,0.43125,0.0,0.41875,0.41875,0.0,0.41875,0.41875,0.0
13,4.5,0.9,0.41875,0.41875,0.0,0.49375,0.49375,0.0,0.53125,0.53125,0.0
14,4.5,0.8,0.4375,0.4375,0.0,0.5375,0.5375,0.0,0.50625,0.50625,0.0
15,4.5,1.1,0.38125,0.38125,0.0,0.575,0.575,0.0,0.5625,0.5625,0.0
16,4.5,1.0,0.46875,0.46875,0.0,0.45,0.45,0.0,0.4625,0.4625,0.0
17,4.5,1.2,0.5125,0.5125,0.0,0.41875,0.41875,0.0,0.425,0.425,0.0
18,4.5,1.4,0.4875,0.4875,0.0,0.5625,0.5625,0.0,0.575,0.575,0.0
19,4.5,0.3,0.4,0.4,0.0,0.55625,0.55625,0.0,0.55,0.55,0.0
20,4.5,0.8,0.675,0.675,0.0,0.7375,0.7375,0.0,0.7375,0.7375,0.0
21,4.5,1.0,0.44375,0.44375,0.0,0.425,0.425,0.0,0.4125,0.4125,0.0
22,4.5,0.1,0.54375,0.54375,0.0,0.6125,0.6125,0.0,0.6125,0.6125,0.0
23,4.5,1.1,0.61875,0.61875,0.0,0.75,0.75,0.0,0.75,0.75,0.0
24,4.5,0.7,0.48125,0.48125,0.0,0.525,0.525,0.0,0.51875,0.51875,0.0
25,4.5,1.0,0.54375,0.54375,0.0,0.56875,0.56875,0.0,0.55,0.55,0.0
26,4.5,1.6,0.4,0.4,0.0,0.525,0.525,0.0,0.525,0.525,0.0
27,4.5,1.1,0.375,0.375,0.0,0.5125,0.5125,0.0,0.49375,0.49375,0.0
28,4.5,0.7,0.46875,0.46875,0.0,0.45625,0.45625,0.0,0.46875,0.46875,0.0
29,4.5,1.5,0.6,0.6,0.0,0.50625,0.50625,0.0,0.49375,0.49375,0.0
30,4.5,0.8,0.58125,0.58125,0.0,0.44375,0.44375,0.0,0.43125,0.43125,0.0
31,4.5,0.9,0.65,0.65,0.0,0.43125,0.43125,0.0,0.43125,0.43125,0.0
32,4.5,1.0,0.55,0.55,0.0,0.36875,0.36875,0.0,0.375,0.375,0.0
33,4.5,1.0,0.45,0.45,0.0,0.45,0.45,0.0,0.4375,0.4375,0.0
34,4.5,0.8,0.69375,0.69375,0.0,0.35625,0.35625,0.0,0.375,0.375,0.0
35,4.5,0.5,0.58125,0.58125,0.0,0.46875,0.46875,0.0,0.49375,0.49375,0.0
36,4.5,1.1,0.5375,0.5375,0.0,0.46875,0.46875,0.0,0.45625,0.45625,0.0
37,4.5,0.9,0.44375,0.44375,0.0,0.6625,0.6625,0.0,0.65625,0.65625,0.0
38,4.5,0.6,0.5875,0.5875,0.0,0.50625,0.50625,0.0,0.51875,0.51875,0.0
39,4.5,0.9,0.45,0.45,0.0,0.53125,0.53125,0.0,0.525,0.525,0.0
40,4.5,0.9,0.475,0.475,0.0,0.69375,0.69375,0.0,0.725,0.725,0.0
41,4.5,1.0,0.45,0.45,0.0,0.4375,0.4375,0.0,0.45,0.45,0.0
42,4.5,1.3,0.48125,0.48125,0.0,0.4375,0.4375,0.0,0.44375,0.44375,0.0
43,4.5,1.5,0.5375,0.5375,0.0,0.5,0.5,0.0,0.5,0.5,0.0
44,4.5,1.7,0.5625,0.5625,0.0,0.6875,0.6875,0.0,0.66875,0.66875,0.0
45,4.5,1.8,0.43125,0.43125,0.0,0.6375,0.6375,0.0,0.64375,0.64375,0.0
46,4.5,0.4,0.49375,0.49375,0.0,0.525,0.525,0.0,0.53125,0.53125,0.0
47,4.5,0.6,0.5125,0.5125,0.0,0.58125,0.58125,0.0,0.6,0.6,0.0
48,4.5,0.9,0.4375,0.4375,0.0,0.3,0.3,0.0,0.33125,0.33125,0.0
49,4.5,1.3,0.4875,0.4875,0.0,0.59375,0.59375,0.0,0.60625,0.60625,0.0
50,4.5,1.3,0.4875,0.4875,0.0,0.46875,0.46875,0.0,0.48125,0.48125,0.0
