subject,fold,window_start_s,sjepa_acc,sjepa_bacc,sjepa_collapse,riemann_acc,riemann_bacc,riemann_collapse,fusion_acc,fusion_bacc,fusion_collapse
7,6,2.0,0.75,0.75,False,0.8125,0.8125,False,0.8125,0.8125,False
7,7,0.0,0.75,0.75,False,0.5,0.5,False,0.5,0.5,False
7,8,1.0,0.625,0.625,False,0.5625,0.5625,False,0.5625,0.5625,False
7,9,2.0,0.6875,0.6875,False,0.9375,0.9375,False,0.875,0.875,False
8,0,0.0,0.375,0.375,False,0.5,0.5,False,0.5,0.5,False
8,1,2.0,0.375,0.375,False,0.375,0.375,False,0.375,0.375,False
8,2,0.0,0.75,0.75,False,0.5625,0.5625,False,0.5625,0.5625,False
8,3,0.0,0.5,0.5,False,0.5,0.5,False,0.4375,0.4375,False
8,4,0.0,0.4375,0.4375,False,0.4375,0.4375,False,0.5,0.5,False
8,5,1.0,0.5625,0.5625,False,0.5,0.5,False,0.5,0.5,False
8,6,0.0,0.8125,0.8125,False,0.375,0.375,False,0.375,0.375,False
8,7,2.0,0.4375,0.4375,False,0.4375,0.4375,False,0.375,0.375,False
8,8,1.0,0.5,0.5,False,0.5625,0.5625,False,0.5,0.5,False
8,9,0.0,0.5,0.5,False,0.5,0.5,False,0.5,0.5,False
9,0,2.0,0.5625,0.5625,False,0.375,0.375,False,0.375,0.375,False
9,1,1.0,0.4375,0.4375,False,0.625,0.625,False,0.6875,0.6875,False
9,2,0.0,0.375,0.375,False,0.4375,0.4375,False,0.5,0.5,False
9,3,2.0,0.625,0.625,False,0.6875,0.6875,False,0.6875,0.6875,False
9,4,0.0,0.5625,0.5625,False,0.6875,0.6875,False,0.6875,0.6875,False
9,5,0.0,0.5625,0.5625,False,0.625,0.625,False,0.625,0.625,False
9,6,1.0,0.4375,0.4375,False,0.4375,0.4375,False,0.4375,0.4375,False
9,7,1.0,0.375,0.375,False,0.4375,0.4375,False,0.5,0.5,False
9,8,2.0,0.375,0.375,False,0.5625,0.5625,False,0.5625,0.5625,False
9,9,0.0,0.6875,0.6875,False,0.5625,0.5625,False,0.625,0.625,False
10,0,1.0,0.625,0.625,False,0.4375,0.4375,False,0.4375,0.4375,False
10,1,0.0,0.6875,0.6875,False,0.5,0.5,False,0.5,0.5,False
10,2,0.0,0.6875,0.6875,False,0.375,0.375,False,0.4375,0.4375,False
10,3,0.0,0.5625,0.5625,False,0.625,0.625,False,0.6875,0.6875,False
10,4,2.0,0.625,0.625,False,0.5625,0.5625,False,0.625,0.625,False
10,5,2.0,0.75,0.75,False,0.375,0.375,False,0.4375,0.4375,False
10,6,2.0,0.6875,0.6875,False,0.5625,0.5625,False,0.625,0.625,False
10,7,0.0,0.5,0.5,False,0.5,0.5,False,0.625,0.625,False
10,8,0.0,0.5625,0.5625,False,0.4375,0.4375,False,0.5,0.5,False
10,9,0.0,0.75,0.75,False,0.4375,0.4375,False,0.4375,0.4375,False
11,0,1.0,0.5625,0.5625,False,0.5,0.5,False,0.5,0.5,False
11,1,2.0,0.5,0.5,False,0.5625,0.5625,False,0.5625,0.5625,False
11,2,2.0,0.5,0.5,False,0.5625,0.5625,False,0.5625,0.5625,False
11,3,1.0,0.5625,0.5625,False,0.5,0.5,False,0.5625,0.5625,False
11,4,2.0,0.5625,0.5625,False,0.75,0.75,False,0.75,0.75,False
11,5,1.0,0.375,0.375,False,0.5,0.5,False,0.5,0.5,False
11,6,0.0,0.4375,0.4375,False,0.6875,0.6875,False,0.6875,0.6875,False
11,7,1.0,0.5,0.5,False,0.4375,0.4375,False,0.4375,0.4375,False
11,8,0.0,0.4375,0.4375,False,0.5,0.5,False,0.4375,0.4375,False
11,9,2.0,0.5,0.5,False,0.625,0.625,False,0.625,0.625,False
12,0,2.0,0.4375,0.4375,False,0.375,0.375,False,0.4375,0.4375,False
12,1,1.0,0.6875,0.6875,False,0.3125,0.3125,False,0.3125,0.3125,False
12,2,1.0,0.3125,0.3125,False,0.375,0.375,False,0.375,0.375,False
12,3,0.0,0.3125,0.3125,False,0.25,0.25,False,0.1875,0.1875,False
12,4,1.0,0.4375,0.4375,False,0.4375,0.4375,False,0.4375,0.4375,False
12,5,2.0,0.5,0.5,False,0.4375,0.4375,False,0.4375,0.4375,False
12,6,1.0,0.5,0.5,False,0.375,0.375,False,0.375,0.375,False
12,7,1.0,0.3125,0.3125,False,0.6875,0.6875,False,0.6875,0.6875,False
12,8,2.0,0.4375,0.4375,False,0.5,0.5,False,0.5,0.5,False
12,9,1.0,0.375,0.375,False,0.4375,0.4375,False,0.4375,0.4375,False
13,0,0.0,0.5,0.5,False,0.5,0.5,False,0.5,0.5,False
13,1,1.0,0.4375,0.4375,False,0.4375,0.4375,False,0.6875,0.6875,False
13,2,1.0,0.3125,0.3125,False,0.5,0.5,False,0.4375,0.4375,False
13,3,1.0,0.4375,0.4375,False,0.6875,0.6875,False,0.625,0.625,False
13,4,1.0,0.375,0.375,False,0.5,0.5,False,0.5,0.5,False
13,5,0.0,0.4375,0.4375,False,0.375,0.375,False,0.5625,0.5625,False
13,6,2.0,0.4375,0.4375,False,0.4375,0.4375,False,0.4375,0.4375,False
13,7,1.0,0.4375,0.4375,False,0.6875,0.6875,False,0.625,0.625,False
13,8,1.0,0.4375,0.4375,False,0.4375,0.4375,False,0.5625,0.5625,False
13,9,1.0,0.375,0.375,False,0.375,0.375,False,0.375,0.375,False
14,0,0.0,0.4375,0.4375,False,0.625,0.625,False,0.625,0.625,False
14,1,0.0,0.5,0.5,False,0.6875,0.6875,False,0.6875,0.6875,False
14,2,1.0,0.4375,0.4375,False,0.5,0.5,False,0.375,0.375,False
14,3,2.0,0.625,0.625,False,0.5,0.5,False,0.5,0.5,False
14,4,0.0,0.375,0.375,False,0.4375,0.4375,False,0.4375,0.4375,False
14,5,1.0,0.5,0.5,False,0.5,0.5,False,0.4375,0.4375,False
14,6,2.0,0.375,0.375,False,0.6875,0.6875,False,0.625,0.625,False
14,7,0.0,0.375,0.375,False,0.375,0.375,False,0.4375,0.4375,False
14,8,1.0,0.4375,0.4375,False,0.5625,0.5625,False,0.5,0.5,False
14,9,1.0,0.3125,0.3125,False,0.5,0.5,False,0.4375,0.4375,False
15,0,1.0,0.375,0.375,False,0.5625,0.5625,False,0.5625,0.5625,False
15,1,1.0,0.25,0.25,False,0.625,0.625,False,0.5625,0.5625,False
15,2,1.0,0.3125,0.3125,False,0.5,0.5,False,0.5625,0.5625,False
15,3,1.0,0.4375,0.4375,False,0.75,0.75,False,0.75,0.75,False
15,4,1.0,0.375,0.375,False,0.625,0.625,False,0.625,0.625,False
15,5,0.0,0.5,0.5,False,0.4375,0.4375,False,0.375,0.375,False
15,6,2.0,0.4375,0.4375,False,0.5,0.5,False,0.5,0.5,False
15,7,1.0,0.375,0.375,False,0.5625,0.5625,False,0.625,0.625,False
15,8,2.0,0.4375,0.4375,False,0.625,0.625,False,0.5,0.5,False
15,9,1.0,0.3125,0.3125,False,0.5625,0.5625,False,0.5625,0.5625,False
16,0,2.0,0.6875,0.6875,False,0.375,0.375,False,0.4375,0.4375,False
16,1,2.0,0.5,0.5,False,0.5625,0.5625,False,0.5625,0.5625,False
16,2,2.0,0.4375,0.4375,False,0.4375,0.4375,False,0.4375,0.4375,False
16,3,0.0,0.5,0.5,False,0.4375,0.4375,False,0.375,0.375,False
16,4,0.0,0.4375,0.4375,False,0.5,0.5,False,0.5,0.5,False
16,5,0.0,0.375,0.375,False,0.5,0.5,False,0.4375,0.4375,False
16,6,1.0,0.5,0.5,False,0.375,0.375,False,0.375,0.375,False
16,7,1.0,0.5,0.5,False,0.4375,0.4375,False,0.5625,0.5625,False
16,8,2.0,0.3125,0.3125,False,0.4375,0.4375,False,0.375,0.375,False
16,9,0.0,0.4375,0.4375,False,0.4375,0.4375,False,0.5625,0.5625,False
17,0,2.0,0.5,0.5,False,0.25,0.25,False,0.25,0.25,False
17,1,2.0,0.4375,0.4375,False,0.25,0.25,False,0.3125,0.3125,False
17,2,2.0,0.5,0.5,False,0.375,0.375,False,0.375,0.375,False
17,3,1.0,0.5,0.5,False,0.4375,0.4375,False,0.4375,0.4375,False
17,4,2.0,0.625,0.625,False,0.5,0.5,False,0.5,0.5,False
17,5,0.0,0.5,0.5,False,0.4375,0.4375,False,0.4375,0.4375,False
17,6,1.0,0.625,0.625,False,0.5,0.5,False,0.5,0.5,False
17,7,2.0,0.5,0.5,False,0.375,0.375,False,0.375,0.375,False
17,8,0.0,0.5625,0.5625,False,0.5,0.5,False,0.5,0.5,False
17,9,0.0,0.375,0.375,False,0.5625,0.5625,False,0.5625,0.5625,False
18,0,1.0,0.5,0.5,False,0.75,0.75,False,0.75,0.75,False
18,1,1.0,0.3125,0.3125,False,0.5,0.5,False,0.5,0.5,False
18,2,2.0,0.5,0.5,False,0.5625,0.5625,False,0.625,0.625,False
18,3,0.0,0.375,0.375,False,0.3125,0.3125,False,0.3125,0.3125,False
18,4,2.0,0.5,0.5,False,0.5,0.5,False,0.5,0.5,False
18,5,1.0,0.625,0.625,False,0.4375,0.4375,False,0.4375,0.4375,False
18,6,2.0,0.75,0.75,False,0.5625,0.5625,False,0.5625,0.5625,False
18,7,1.0,0.5625,0.5625,False,0.625,0.625,False,0.6875,0.6875,False
18,8,2.0,0.1875,0.1875,False,0.75,0.75,False,0.75,0.75,False
18,9,2.0,0.5625,0.5625,False,0.625,0.625,False,0.625,0.625,False
19,0,0.0,0.5625,0.5625,False,0.625,0.625,False,0.5625,0.5625,False
19,1,0.0,0.5,0.5,False,0.6875,0.6875,False,0.6875,0.6875,False
19,2,1.0,0.25,0.25,False,0.4375,0.4375,False,0.375,0.375,False
