repeat,swap,subject_id,branch,train_separation,heldout_ba,train_indices,test_indices
0,0,3,sjepa,5.064367771148682,0.5,"[0, 4, 30, 22, 16, 12, 32, 20, 34, 10, 11, 17, 33, 9, 31, 13, 37, 21, 29, 3]","[1, 2, 5, 6, 7, 8, 14, 15, 18, 19, 23, 24, 25, 26, 27, 28, 35, 36, 38, 39]"
0,1,3,sjepa,3.91502046585083,0.35,"[1, 2, 5, 6, 7, 8, 14, 15, 18, 19, 23, 24, 25, 26, 27, 28, 35, 36, 38, 39]","[0, 4, 30, 22, 16, 12, 32, 20, 34, 10, 11, 17, 33, 9, 31, 13, 37, 21, 29, 3]"
0,0,7,physiology,2.4231341400271607,0.6,"[14, 0, 32, 10, 12, 26, 34, 36, 28, 2, 3, 21, 19, 11, 5, 23, 35, 31, 39, 37]","[1, 4, 6, 7, 8, 9, 13, 15, 16, 17, 18, 20, 22, 24, 25, 27, 29, 30, 33, 38]"
0,1,7,physiology,3.332364388811092,0.6000000000000001,"[1, 4, 6, 7, 8, 9, 13, 15, 16, 17, 18, 20, 22, 24, 25, 27, 29, 30, 33, 38]","[14, 0, 32, 10, 12, 26, 34, 36, 28, 2, 3, 21, 19, 11, 5, 23, 35, 31, 39, 37]"
0,0,7,riemann,9.170987816828434,0.6,"[14, 0, 32, 10, 12, 26, 34, 36, 28, 2, 3, 21, 19, 11, 5, 23, 35, 31, 39, 37]","[1, 4, 6, 7, 8, 9, 13, 15, 16, 17, 18, 20, 22, 24, 25, 27, 29, 30, 33, 38]"
0,1,7,riemann,8.852049390656182,0.6,"[1, 4, 6, 7, 8, 9, 13, 15, 16, 17, 18, 20, 22, 24, 25, 27, 29, 30, 33, 38]","[14, 0, 32, 10, 12, 26, 34, 36, 28, 2, 3, 21, 19, 11, 5, 23, 35, 31, 39, 37]"
0,0,7,sjepa,4.383523464202881,0.7,"[34, 30, 22, 6, 10, 12, 26, 4, 14, 16, 7, 15, 5, 13, 39, 11, 33, 35, 31, 25]","[0, 1, 2, 3, 8, 9, 17, 18, 19, 20, 21, 23, 24, 27, 28, 29, 32, 36, 37, 38]"
0,1,7,sjepa,3.7987637519836426,0.6,"[0, 1, 2, 3, 8, 9, 17, 18, 19, 20, 21, 23, 24, 27, 28, 29, 32, 36, 37, 38]","[34, 30, 22, 6, 10, 12, 26, 4, 14, 16, 7, 15, 5, 13, 39, 11, 33, 35, 31, 25]"
0,0,9,physiology,1.4371076441573305,0.45,"[36, 2, 10, 22, 0, 38, 34, 12, 30, 24, 19, 7, 15, 3, 37, 27, 5, 17, 33, 39]","[1, 4, 6, 8, 9, 11, 13, 14, 16, 18, 20, 21, 23, 25, 26, 28, 29, 31, 32, 35]"
0,1,9,physiology,1.722014689467977,0.4,"[1, 4, 6, 8, 9, 11, 13, 14, 16, 18, 20, 21, 23, 25, 26, 28, 29, 31, 32, 35]","[36, 2, 10, 22, 0, 38, 34, 12, 30, 24, 19, 7, 15, 3, 37, 27, 5, 17, 33, 39]"
0,0,9,riemann,7.441897847519521,0.44999999999999996,"[36, 2, 10, 22, 0, 38, 34, 12, 30, 24, 19, 7, 15, 3, 37, 27, 5, 17, 33, 39]","[1, 4, 6, 8, 9, 11, 13, 14, 16, 18, 20, 21, 23, 25, 26, 28, 29, 31, 32, 35]"
0,1,9,riemann,6.599626001554931,0.4,"[1, 4, 6, 8, 9, 11, 13, 14, 16, 18, 20, 21, 23, 25, 26, 28, 29, 31, 32, 35]","[36, 2, 10, 22, 0, 38, 34, 12, 30, 24, 19, 7, 15, 3, 37, 27, 5, 17, 33, 39]"
0,0,9,sjepa,4.594920635223389,0.35,"[0, 16, 32, 34, 24, 22, 28, 36, 18, 12, 29, 27, 25, 31, 7, 23, 35, 19, 1, 37]","[2, 3, 4, 5, 6, 8, 9, 10, 11, 13, 14, 15, 17, 20, 21, 26, 30, 33, 38, 39]"
0,1,9,sjepa,3.1184825897216797,0.45,"[2, 3, 4, 5, 6, 8, 9, 10, 11, 13, 14, 15, 17, 20, 21, 26, 30, 33, 38, 39]","[0, 16, 32, 34, 24, 22, 28, 36, 18, 12, 29, 27, 25, 31, 7, 23, 35, 19, 1, 37]"
0,0,10,physiology,1.1337140845833829,0.7,"[32, 34, 6, 0, 20, 36, 14, 10, 28, 30, 19, 15, 3, 27, 39, 23, 5, 31, 1, 25]","[2, 4, 7, 8, 9, 11, 12, 13, 16, 17, 18, 21, 22, 24, 26, 29, 33, 35, 37, 38]"
0,1,10,physiology,2.261384584352301,0.6,"[2, 4, 7, 8, 9, 11, 12, 13, 16, 17, 18, 21, 22, 24, 26, 29, 33, 35, 37, 38]","[32, 34, 6, 0, 20, 36, 14, 10, 28, 30, 19, 15, 3, 27, 39, 23, 5, 31, 1, 25]"
0,0,10,riemann,7.722391955917793,0.55,"[32, 34, 6, 0, 20, 36, 14, 10, 28, 30, 19, 15, 3, 27, 39, 23, 5, 31, 1, 25]","[2, 4, 7, 8, 9, 11, 12, 13, 16, 17, 18, 21, 22, 24, 26, 29, 33, 35, 37, 38]"
0,1,10,riemann,8.618417376645239,0.5,"[2, 4, 7, 8, 9, 11, 12, 13, 16, 17, 18, 21, 22, 24, 26, 29, 33, 35, 37, 38]","[32, 34, 6, 0, 20, 36, 14, 10, 28, 30, 19, 15, 3, 27, 39, 23, 5, 31, 1, 25]"
0,0,10,sjepa,4.055760383605957,0.55,"[26, 4, 24, 2, 12, 30, 18, 34, 32, 28, 31, 33, 1, 21, 17, 23, 13, 15, 35, 7]","[0, 3, 5, 6, 8, 9, 10, 11, 14, 16, 19, 20, 22, 25, 27, 29, 36, 37, 38, 39]"
0,1,10,sjepa,4.064786911010742,0.55,"[0, 3, 5, 6, 8, 9, 10, 11, 14, 16, 19, 20, 22, 25, 27, 29, 36, 37, 38, 39]","[26, 4, 24, 2, 12, 30, 18, 34, 32, 28, 31, 33, 1, 21, 17, 23, 13, 15, 35, 7]"
0,0,11,physiology,1.4545625173631882,0.55,"[2, 34, 16, 38, 36, 32, 0, 28, 18, 20, 1, 13, 7, 37, 17, 19, 27, 39, 11, 3]","[4, 5, 6, 8, 9, 10, 12, 14, 15, 21, 22, 23, 24, 25, 26, 29, 30, 31, 33, 35]"
0,1,11,physiology,1.3541083293300595,0.55,"[4, 5, 6, 8, 9, 10, 12, 14, 15, 21, 22, 23, 24, 25, 26, 29, 30, 31, 33, 35]","[2, 34, 16, 38, 36, 32, 0, 28, 18, 20, 1, 13, 7, 37, 17, 19, 27, 39, 11, 3]"
0,0,11,riemann,7.79691001479588,0.75,"[2, 34, 16, 38, 36, 32, 0, 28, 18, 20, 1, 13, 7, 37, 17, 19, 27, 39, 11, 3]","[4, 5, 6, 8, 9, 10, 12, 14, 15, 21, 22, 23, 24, 25, 26, 29, 30, 31, 33, 35]"
0,1,11,riemann,7.634578668222733,0.7,"[4, 5, 6, 8, 9, 10, 12, 14, 15, 21, 22, 23, 24, 25, 26, 29, 30, 31, 33, 35]","[2, 34, 16, 38, 36, 32, 0, 28, 18, 20, 1, 13, 7, 37, 17, 19, 27, 39, 11, 3]"
0,0,11,sjepa,3.401752471923828,0.45,"[4, 6, 20, 24, 12, 28, 36, 22, 38, 30, 9, 23, 29, 11, 21, 15, 37, 39, 35, 33]","[0, 1, 2, 3, 5, 7, 8, 10, 13, 14, 16, 17, 18, 19, 25, 26, 27, 31, 32, 34]"
0,1,11,sjepa,3.085977792739868,0.5,"[0, 1, 2, 3, 5, 7, 8, 10, 13, 14, 16, 17, 18, 19, 25, 26, 27, 31, 32, 34]","[4, 6, 20, 24, 12, 28, 36, 22, 38, 30, 9, 23, 29, 11, 21, 15, 37, 39, 35, 33]"
0,0,14,physiology,1.4429757094848652,0.5,"[8, 0, 18, 24, 30, 12, 38, 32, 4, 34, 39, 27, 25, 7, 33, 29, 21, 15, 17, 11]","[1, 2, 3, 5, 6, 9, 10, 13, 14, 16, 19, 20, 22, 23, 26, 28, 31, 35, 36, 37]"
0,1,14,physiology,3.3711884101293186,0.45,"[1, 2, 3, 5, 6, 9, 10, 13, 14, 16, 19, 20, 22, 23, 26, 28, 31, 35, 36, 37]","[8, 0, 18, 24, 30, 12, 38, 32, 4, 34, 39, 27, 25, 7, 33, 29, 21, 15, 17, 11]"
0,0,14,riemann,6.386778642152758,0.45,"[8, 0, 18, 24, 30, 12, 38, 32, 4, 34, 39, 27, 25, 7, 33, 29, 21, 15, 17, 11]","[1, 2, 3, 5, 6, 9, 10, 13, 14, 16, 19, 20, 22, 23, 26, 28, 31, 35, 36, 37]"
0,1,14,riemann,7.97030629138414,0.4,"[1, 2, 3, 5, 6, 9, 10, 13, 14, 16, 19, 20, 22, 23, 26, 28, 31, 35, 36, 37]","[8, 0, 18, 24, 30, 12, 38, 32, 4, 34, 39, 27, 25, 7, 33, 29, 21, 15, 17, 11]"
