subject_id,locked_shallow_ba,locked_shallow_collapse_rate,locked_prelocal_ba,physiology_mean_abs_g,riemann_ba,riemann_auc,margin_hedges_g_x,margin_rank_biserial_x,riemann_separation,mean_foldlocal_distance_contrast,microstate_mean_abs_difference,sjepa_ba,sjepa_auc,margin_hedges_g_y,margin_rank_biserial_y,linear_mmd_sq,sjepa_separation,linear_mmd_permutation_p,flagged_sub15_sensitivity
1,0.55,0.2,0.55,0.26209152165068883,0.35,0.34,-0.565136570728456,-0.31999999999999995,6.73374278761344,-0.15764149344882578,0.14607265263558342,0.5,0.44749999999999995,-0.1584331181447201,-0.10499999999999998,0.00013845469220541418,0.011766676791012287,0.46026986506746626,False
3,0.45,0.2,0.65,0.16065326360421106,0.35,0.4425,-0.11336438957631649,-0.11499999999999999,1.7191750321533932,-0.12505336543718007,0.21353171525759632,0.6499999999999999,0.6425,0.41501908633983003,0.2849999999999999,0.0002460232353769243,0.015685128048062325,0.050974512743628186,False
7,0.65,0.0,0.65,0.5506414721648856,0.625,0.6575,0.6090634966933514,0.31499999999999995,10.48694859350105,0.7049913541440499,0.272869600044585,0.7,0.7625,0.9237040760417913,0.5249999999999999,0.0002091781352646649,0.014462991617619991,0.08895552223888056,False
9,0.55,0.0,0.475,0.2571758631774705,0.45,0.4,-0.3595235380840411,-0.19999999999999996,4.823716939255423,-0.23642887588464978,0.06070356753439021,0.425,0.44,-0.13784198184601398,-0.12,0.0001605174911674112,0.012669549323618412,0.36281859070464767,False
10,0.425,0.0,0.5,0.31830387952727407,0.625,0.6225,0.32898414950481436,0.2450000000000001,6.253220507668489,0.23077884775351204,0.09394823602259145,0.55,0.5675,0.10697707715778712,0.135,0.00017009572184178978,0.01304207555949688,0.3473263368315842,False
11,0.7749999999999999,0.2,0.5,0.2753242888049104,0.6499999999999999,0.745,0.43735122861068526,0.49,8.682407722644827,0.2112791403262348,0.06002682950362537,0.55,0.5449999999999999,0.18101628934043246,0.09000000000000008,0.00011839949002023786,0.0108811529353261,0.4897551224387806,False
14,0.425,0.0,0.475,0.2594850853156436,0.30000000000000004,0.2575,-0.7684159414559676,-0.485,9.696464191123393,-0.22398181011060467,0.05014767686270898,0.45,0.43500000000000005,-0.29208869995330594,-0.13,0.00013876092270947993,0.011779682710766792,0.335832083958021,False
15,0.45,0.0,0.45,0.29254512423192036,0.475,0.4425,-0.2746678943379308,-0.11499999999999999,4.466314587091799,-0.036926937483226084,0.071210677745304,0.42500000000000004,0.4325,-0.1611440102624981,-0.135,7.207810995168984e-05,0.008489882573485374,0.5592203898050975,True
17,0.45,0.0,0.55,0.27446813359202493,0.525,0.485,-0.12892089384187283,-0.030000000000000027,2.184661978666877,0.043257508121899234,0.07396569935501411,0.575,0.6125,0.29537037183393067,0.2250000000000001,0.00016884671640582383,0.012994103133678436,0.15342328835582209,False
29,0.4,0.0,0.45,0.2967249256615414,0.55,0.6275,0.51029079977779,0.2549999999999999,7.70703475967015,0.17502267470642333,0.14838750386729443,0.375,0.2875,-0.7116153431887049,-0.42500000000000004,6.098040830693208e-05,0.007808994967490435,0.9500249875062469,False
31,0.5,0.0,0.525,0.4714279758418679,0.475,0.41,-0.326510101903605,-0.18000000000000005,4.985907808944423,-0.06140160014458127,0.03385443270935482,0.525,0.5225,-0.009187501622312551,0.04499999999999993,0.00018445731257088482,0.013581505976617336,0.2543728135932034,False
32,0.475,0.0,0.55,0.2004736191558921,0.3,0.3025,-0.6481741221389997,-0.395,8.300467835724454,-0.22157079446721267,0.06269845566844644,0.475,0.4625,-0.14037534531378482,-0.07499999999999996,0.0001412676356267184,0.011885606683790684,0.7331334332833583,False
37,0.775,0.0,0.5,0.5068971840606293,0.7250000000000001,0.7725000000000001,0.9664583028874035,0.5449999999999999,18.374926436015173,0.32469367706164814,0.12254508950549792,0.55,0.5375,0.06754849166442242,0.07499999999999996,0.00018250782159157097,0.013509545475244522,0.5397301349325337,False
41,0.525,0.0,0.55,0.2029816572060616,0.575,0.48000000000000004,-0.19055774595040303,-0.040000000000000036,2.6215978181056236,-0.057898018867042246,0.16361688097099406,0.525,0.5049999999999999,-0.027918088301393328,0.010000000000000009,0.00019098429766017944,0.013819706626236439,0.3663168415792104,False
