epoch,train_loss,val_loss,train_n,val_n,train_masked_tokens_mean,probe_mean_balacc,emb_std,effective_rank,offdiag_corr,probe_per_subject
1,0.5746175040801366,0.4135917967557907,1200,400,27.434166666666666,0.5399999999999999,0.23188477754592896,10.216072230907514,0.20797422826350645,"{7: 0.625, 22: 0.45, 23: 0.475, 28: 0.55, 40: 0.6}"
2,0.40662784039974215,0.35593498051166533,1200,400,27.259166666666665,,,,,
3,0.35871899326642354,0.3160118055343628,1200,400,27.311666666666667,,,,,
4,0.32499930044015246,0.2889160573482513,1200,400,27.305833333333332,,,,,
5,0.3008191015323003,0.274394773542881,1200,400,27.4925,0.54,0.1641615629196167,6.625259787675553,0.27588179218618797,"{7: 0.75, 22: 0.425, 23: 0.375, 28: 0.6, 40: 0.55}"
6,0.28570421318213146,0.2601332387328148,1200,400,27.346666666666668,,,,,
7,0.2749338392416636,0.25657006561756135,1200,400,27.399166666666666,,,,,
8,0.2674788143237432,0.2511795648932457,1200,400,27.055,,,,,
9,0.2617412864168485,0.24958862364292145,1200,400,27.014166666666668,,,,,
10,0.25713042775789896,0.2471379753947258,1200,400,27.545,0.5599999999999999,0.13997294008731842,5.228880670869033,0.31529942593795546,"{7: 0.8, 22: 0.375, 23: 0.425, 28: 0.65, 40: 0.55}"
11,0.2551829136411349,0.24674968272447587,1200,400,27.288333333333334,,,,,
12,0.25270230253537496,0.24533534407615662,1200,400,27.154166666666665,,,,,
13,0.25118636012077333,0.24517093628644943,1200,400,27.253333333333334,,,,,
14,0.25179590344429015,0.2472713953256607,1200,400,27.375833333333333,,,,,
15,0.25389475146929424,0.24656958311796187,1200,400,27.393333333333334,0.6,0.13781161606311798,4.318673945643785,0.34281172569169865,"{7: 0.8, 22: 0.475, 23: 0.5, 28: 0.625, 40: 0.6}"
16,0.2542653352022171,0.24747062623500823,1200,400,27.60333333333333,,,,,
17,0.2538960416118304,0.2505452114343643,1200,400,27.189166666666665,,,,,
18,0.2542703691124916,0.2495173555612564,1200,400,27.235833333333332,,,,,
19,0.2526965722441673,0.24485356748104095,1200,400,27.504166666666666,,,,,
20,0.25167687286933266,0.2459765914082527,1200,400,27.288333333333334,0.585,0.16295941174030304,4.49564315289186,0.34071779656961315,"{7: 0.625, 22: 0.525, 23: 0.5, 28: 0.625, 40: 0.65}"
21,0.25192064255476,0.243636115193367,1200,400,27.265,,,,,
22,0.2516713340083758,0.24381067842245102,1200,400,27.364166666666666,,,,,
23,0.24863466928402583,0.2438744482398033,1200,400,27.043333333333333,,,,,
24,0.24445901383956273,0.24260421603918075,1200,400,26.979166666666668,,,,,
25,0.2439855718612671,0.2375383660197258,1200,400,27.16,0.605,0.19254069030284882,4.29190180875569,0.36436110184278686,"{7: 0.625, 22: 0.575, 23: 0.55, 28: 0.675, 40: 0.6}"
26,0.24257863640785218,0.23792998522520065,1200,400,27.673333333333332,,,,,
27,0.24071054369211198,0.23488388687372208,1200,400,27.294166666666666,,,,,
