method,subject_id,accuracy,balanced_accuracy,f1,confusion_matrix
control,sub-01,0.45,0.45,0.5,"[[7, 13], [9, 11]]"
control,sub-02,0.475,0.475,0.36363636363636365,"[[13, 7], [14, 6]]"
control,sub-03,0.475,0.475,0.4878048780487805,"[[9, 11], [10, 10]]"
control,sub-04,0.625,0.625,0.6341463414634146,"[[12, 8], [7, 13]]"
control,sub-05,0.575,0.575,0.5405405405405406,"[[13, 7], [10, 10]]"
control,sub-06,0.5,0.5,0.5,"[[10, 10], [10, 10]]"
control,sub-07,0.525,0.525,0.5777777777777777,"[[8, 12], [7, 13]]"
control,sub-08,0.625,0.625,0.5454545454545454,"[[16, 4], [11, 9]]"
control,sub-09,0.6,0.6000000000000001,0.5789473684210527,"[[13, 7], [9, 11]]"
control,sub-10,0.5,0.5,0.5238095238095238,"[[9, 11], [9, 11]]"
control,sub-11,0.9,0.8999999999999999,0.8947368421052632,"[[19, 1], [3, 17]]"
control,sub-12,0.7,0.7,0.6666666666666666,"[[16, 4], [8, 12]]"
control,sub-13,0.7,0.7,0.6470588235294118,"[[17, 3], [9, 11]]"
control,sub-14,0.45,0.44999999999999996,0.35294117647058826,"[[12, 8], [14, 6]]"
control,sub-15,0.45,0.45,0.47619047619047616,"[[8, 12], [10, 10]]"
control,sub-16,0.65,0.65,0.6111111111111112,"[[15, 5], [9, 11]]"
control,sub-17,0.425,0.42500000000000004,0.43902439024390244,"[[8, 12], [11, 9]]"
control,sub-18,0.825,0.825,0.8292682926829268,"[[16, 4], [3, 17]]"
control,sub-19,0.5,0.5,0.47368421052631576,"[[11, 9], [11, 9]]"
control,sub-20,0.775,0.775,0.7804878048780488,"[[15, 5], [4, 16]]"
control,sub-21,0.475,0.47500000000000003,0.43243243243243246,"[[11, 9], [12, 8]]"
control,sub-22,0.825,0.825,0.8292682926829268,"[[16, 4], [3, 17]]"
control,sub-23,0.675,0.675,0.6666666666666666,"[[14, 6], [7, 13]]"
control,sub-24,0.525,0.525,0.5365853658536586,"[[10, 10], [9, 11]]"
control,sub-25,0.7,0.7,0.7272727272727273,"[[12, 8], [4, 16]]"
control,sub-26,0.6,0.6,0.6,"[[12, 8], [8, 12]]"
control,sub-27,0.55,0.55,0.5263157894736842,"[[12, 8], [10, 10]]"
control,sub-28,0.55,0.55,0.55,"[[11, 9], [9, 11]]"
control,sub-29,0.5,0.5,0.47368421052631576,"[[11, 9], [11, 9]]"
control,sub-30,0.75,0.75,0.7368421052631579,"[[16, 4], [6, 14]]"
control,sub-31,0.5,0.5,0.5,"[[10, 10], [10, 10]]"
control,sub-32,0.4,0.4,0.42857142857142855,"[[7, 13], [11, 9]]"
control,sub-33,0.425,0.42500000000000004,0.4888888888888889,"[[6, 14], [9, 11]]"
control,sub-34,0.65,0.6499999999999999,0.631578947368421,"[[14, 6], [8, 12]]"
control,sub-35,0.525,0.5249999999999999,0.42424242424242425,"[[14, 6], [13, 7]]"
control,sub-36,0.55,0.55,0.55,"[[11, 9], [9, 11]]"
control,sub-37,0.675,0.675,0.6976744186046512,"[[12, 8], [5, 15]]"
control,sub-38,0.6,0.6,0.6363636363636364,"[[10, 10], [6, 14]]"
control,sub-39,0.625,0.625,0.5714285714285714,"[[15, 5], [10, 10]]"
control,sub-40,0.725,0.7250000000000001,0.7027027027027027,"[[16, 4], [7, 13]]"
control,sub-41,0.55,0.55,0.5263157894736842,"[[12, 8], [10, 10]]"
control,sub-42,0.675,0.675,0.6666666666666666,"[[14, 6], [7, 13]]"
control,sub-43,0.65,0.6499999999999999,0.631578947368421,"[[14, 6], [8, 12]]"
control,sub-44,0.775,0.7749999999999999,0.7906976744186046,"[[14, 6], [3, 17]]"
control,sub-45,0.8,0.8,0.7777777777777778,"[[18, 2], [6, 14]]"
control,sub-46,0.525,0.525,0.5365853658536586,"[[10, 10], [9, 11]]"
control,sub-47,0.575,0.575,0.5853658536585366,"[[11, 9], [8, 12]]"
control,sub-48,0.45,0.45,0.45,"[[9, 11], [11, 9]]"
control,sub-49,0.45,0.45,0.42105263157894735,"[[10, 10], [12, 8]]"
control,sub-50,0.5,0.5,0.4117647058823529,"[[13, 7], [13, 7]]"
reflection_train,sub-01,0.575,0.575,0.6046511627906976,"[[10, 10], [7, 13]]"
reflection_train,sub-02,0.275,0.275,0.17142857142857143,"[[8, 12], [17, 3]]"
reflection_train,sub-03,0.5,0.5,0.5454545454545454,"[[8, 12], [8, 12]]"
reflection_train,sub-04,0.675,0.675,0.6666666666666666,"[[14, 6], [7, 13]]"
reflection_train,sub-05,0.6,0.6,0.6,"[[12, 8], [8, 12]]"
reflection_train,sub-06,0.55,0.55,0.55,"[[11, 9], [9, 11]]"
reflection_train,sub-07,0.675,0.675,0.6829268292682927,"[[13, 7], [6, 14]]"
reflection_train,sub-08,0.525,0.525,0.5128205128205128,"[[11, 9], [10, 10]]"
reflection_train,sub-09,0.45,0.45,0.47619047619047616,"[[8, 12], [10, 10]]"
reflection_train,sub-10,0.65,0.65,0.65,"[[13, 7], [7, 13]]"
reflection_train,sub-11,0.725,0.725,0.6857142857142857,"[[17, 3], [8, 12]]"
reflection_train,sub-12,0.45,0.45,0.45,"[[9, 11], [11, 9]]"
reflection_train,sub-13,0.6,0.6000000000000001,0.5789473684210527,"[[13, 7], [9, 11]]"
reflection_train,sub-14,0.5,0.5,0.47368421052631576,"[[11, 9], [11, 9]]"
reflection_train,sub-15,0.375,0.375,0.3902439024390244,"[[7, 13], [12, 8]]"
reflection_train,sub-16,0.625,0.625,0.5454545454545454,"[[16, 4], [11, 9]]"
reflection_train,sub-17,0.525,0.525,0.5128205128205128,"[[11, 9], [10, 10]]"
reflection_train,sub-18,0.825,0.825,0.8205128205128205,"[[17, 3], [4, 16]]"
reflection_train,sub-19,0.475,0.475,0.46153846153846156,"[[10, 10], [11, 9]]"
