method,reference,mean_delta,median_delta,paired_bootstrap_95_ci_low,paired_bootstrap_95_ci_high,wilcoxon_statistic,wilcoxon_p,wins,ties,losses
reflection_train,control,-0.014500000000000002,-0.012499999999999956,-0.046000000000000006,0.017,567.5,0.49892975843457665,23,2,25
reflection_train_tta,control,-0.02849999999999999,-0.024999999999999994,-0.058499999999999996,0.0009999999999999976,465.0,0.09571999248352611,19,4,27
