subject_id,balanced_accuracy,auc,margin_hedges_g,margin_rank_biserial,margin_centroid_distance,mean_foldlocal_distance_contrast
1,0.35,0.34,-0.565136570728456,-0.31999999999999995,6.73374278761344,-0.15764149344882578
3,0.35,0.4425,-0.11336438957631649,-0.11499999999999999,1.7191750321533932,-0.12505336543718007
7,0.625,0.6575,0.6090634966933514,0.31499999999999995,10.48694859350105,0.7049913541440499
9,0.45,0.4,-0.3595235380840411,-0.19999999999999996,4.823716939255423,-0.23642887588464978
10,0.625,0.6225,0.32898414950481436,0.2450000000000001,6.253220507668489,0.23077884775351204
11,0.6499999999999999,0.745,0.43735122861068526,0.49,8.682407722644827,0.2112791403262348
14,0.30000000000000004,0.2575,-0.7684159414559676,-0.485,9.696464191123393,-0.22398181011060467
15,0.475,0.4425,-0.2746678943379308,-0.11499999999999999,4.466314587091799,-0.036926937483226084
17,0.525,0.485,-0.12892089384187283,-0.030000000000000027,2.184661978666877,0.043257508121899234
29,0.55,0.6275,0.51029079977779,0.2549999999999999,7.70703475967015,0.17502267470642333
31,0.475,0.41,-0.326510101903605,-0.18000000000000005,4.985907808944423,-0.06140160014458127
32,0.3,0.3025,-0.6481741221389997,-0.395,8.300467835724454,-0.22157079446721267
37,0.7250000000000001,0.7725000000000001,0.9664583028874035,0.5449999999999999,18.374926436015173,0.32469367706164814
41,0.575,0.48000000000000004,-0.19055774595040303,-0.040000000000000036,2.6215978181056236,-0.057898018867042246
