subject_id,balanced_accuracy,auc,margin_hedges_g,margin_rank_biserial,linear_mmd_sq,centroid_distance,linear_mmd_permutation_p
1,0.5,0.44749999999999995,-0.1584331181447201,-0.10499999999999998,0.00013845469220541418,0.011766676791012287,0.46026986506746626
3,0.6499999999999999,0.6425,0.41501908633983003,0.2849999999999999,0.0002460232353769243,0.015685128048062325,0.050974512743628186
7,0.7,0.7625,0.9237040760417913,0.5249999999999999,0.0002091781352646649,0.014462991617619991,0.08895552223888056
9,0.425,0.44,-0.13784198184601398,-0.12,0.0001605174911674112,0.012669549323618412,0.36281859070464767
10,0.55,0.5675,0.10697707715778712,0.135,0.00017009572184178978,0.01304207555949688,0.3473263368315842
11,0.55,0.5449999999999999,0.18101628934043246,0.09000000000000008,0.00011839949002023786,0.0108811529353261,0.4897551224387806
14,0.45,0.43500000000000005,-0.29208869995330594,-0.13,0.00013876092270947993,0.011779682710766792,0.335832083958021
15,0.42500000000000004,0.4325,-0.1611440102624981,-0.135,7.207810995168984e-05,0.008489882573485374,0.5592203898050975
17,0.575,0.6125,0.29537037183393067,0.2250000000000001,0.00016884671640582383,0.012994103133678436,0.15342328835582209
29,0.375,0.2875,-0.7116153431887049,-0.42500000000000004,6.098040830693208e-05,0.007808994967490435,0.9500249875062469
31,0.525,0.5225,-0.009187501622312551,0.04499999999999993,0.00018445731257088482,0.013581505976617336,0.2543728135932034
32,0.475,0.4625,-0.14037534531378482,-0.07499999999999996,0.0001412676356267184,0.011885606683790684,0.7331334332833583
37,0.55,0.5375,0.06754849166442242,0.07499999999999996,0.00018250782159157097,0.013509545475244522,0.5397301349325337
41,0.525,0.5049999999999999,-0.027918088301393328,0.010000000000000009,0.00019098429766017944,0.013819706626236439,0.3663168415792104
