feature,mean_left,mean_right,paired_difference,cohen_dz,bootstrap_ci_low,bootstrap_ci_high,paired_t_stat,paired_t_p,wilcoxon_stat,wilcoxon_p,transductive_group_maps,state_naming_mode,bh_q,lv_expected_direction,lv_mean_left,lv_mean_right,lv_cohens_d_left_minus_right,lv_fdr_p,lv_fisher_score,direction_agreement,comparison_status
A_coverage,0.3056214285714285,0.29475714285714283,-0.010864285714285713,-0.46629893358915536,-0.022425714285714285,0.00030830357142856403,-1.744730849383559,0.10460976136751028,25.0,0.090576171875,True,proxy_canonical,0.64921875,left_greater,22.85,19.75,1.16,0.004,0.06,True,proxy_canonical_not_exact
A_duration,0.020204208151153865,0.01949069083054011,-0.0007135173206137534,-0.5344009129040396,-0.001419093003946372,-5.581395823425983e-05,-1.9995451247637306,0.06689482201091905,28.0,0.13525390625,True,proxy_canonical,0.64921875,left_greater,79.04,73.2,0.84,0.032,0.14,True,proxy_canonical_not_exact
A_occurrence,15.275892857142859,15.246428571428572,-0.029464285714285814,-0.03611210620450996,-0.4455580357142856,0.38127232142857087,-0.13511912893223538,0.8945873893564221,51.0,0.9515380859375,True,proxy_canonical,0.9515380859375,left_greater,2.8,2.59,0.82,0.018,0.029,True,proxy_canonical_not_exact
B_to_A,0.4715022457663312,0.46759690132061155,-0.003905344445719637,-0.27443322379061424,-0.010766843014526123,0.003471941377967263,-1.026835099044495,0.32322601343064655,42.0,0.5416259765625,True,proxy_canonical,0.89306640625,left_greater,32.15,29.09,0.82,0.04,0.025,True,proxy_canonical_not_exact
C_coverage,0.29681428571428575,0.3073714285714285,0.010557142857142857,0.31781101428913194,-0.005503839285714288,0.027547589285714262,1.189139929248847,0.2556519733107579,36.0,0.3001708049619184,True,proxy_canonical,0.78193359375,right_greater,23.35,29.18,-1.03,0.004,0.33,True,proxy_canonical_not_exact
C_duration,0.023995657893932452,0.024834075716929953,0.0008384178229975011,0.22660410367115313,-0.0010159566083631723,0.002687705696301153,0.8478749186036183,0.41184689474790037,34.0,0.267578125,True,proxy_canonical,0.78193359375,right_greater,82.6,88.93,-0.7,0.044,0.14,True,proxy_canonical_not_exact
C_occurrence,12.97142857142857,13.169642857142858,0.19821428571428573,0.25643422122162274,-0.17683035714285722,0.5964732142857136,0.9594889980567493,0.35481877584773475,33.0,0.38235208985751545,True,proxy_canonical,0.8342227415073065,right_greater,2.79,3.23,-1.14,0.004,0.53,True,proxy_canonical_not_exact
D_to_A,0.3884363354501081,0.38613987686150864,-0.002296458588599472,-0.05878547181454512,-0.02331156060169891,0.01601491500411148,-0.21995509485551457,0.8293224364575921,51.0,0.9515380859375,True,proxy_canonical,0.9515380859375,left_greater,34.24,27.79,1.25,0.001,0.26,True,proxy_canonical_not_exact
D_to_C,0.26640007356281986,0.2660233771943767,-0.00037669636844325387,-0.011853887614299142,-0.01723127393372322,0.01582302534389998,-0.04435318615542622,0.965296927205774,45.0,0.6697998046875,True,proxy_canonical,0.89306640625,right_greater,34.28,43.85,-1.22,0.006,0.2,False,proxy_canonical_not_exact
