index,experiment_name,sweep_group,evaluation_mode,resample_sfreq,filter_enabled,filter_low,filter_high,filter_method,demean_mode,detrend_mode,eog_correction,artifact_clip_mode,artifact_clip_abs_value,artifact_clip_percentile,normalization_mode,mi_window_start_s,learning_rate,batch_size,optimizer_name,weight_decay,augmentation_noise_fraction,augmentation_time_shift_samples,augmentation_channel_dropout_prob,seed
0,s000_A_core128_0p5_40p0_w1p5_none_none_lr0.0005,A_core128,stratified_kfold,128,True,0.5,40.0,fir,none,none,none,none,,99.5,none,1.5,0.0005,16,adam,0.0,0.0,0,0.0,2026
1,s001_A_core128_0p5_40p0_w1p5_none_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,0.5,40.0,fir,none,none,none,none,,99.5,train_channel_zscore,1.5,0.0003,16,adam,0.0,0.0,0,0.0,2026
2,s002_A_core128_0p5_40p0_w1p5_trial_mean_none_lr0.0005,A_core128,stratified_kfold,128,True,0.5,40.0,fir,trial_mean,none,none,none,,99.5,none,1.5,0.0005,16,adam,0.0,0.0,0,0.0,2026
3,s003_A_core128_0p5_40p0_w1p5_trial_mean_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,0.5,40.0,fir,trial_mean,none,none,none,,99.5,train_channel_zscore,1.5,0.0003,16,adam,0.0,0.0,0,0.0,2026
4,s004_A_core128_0p5_40p0_w1p5_baseline_window_mean_none_lr0.0005,A_core128,stratified_kfold,128,True,0.5,40.0,fir,baseline_window_mean,none,none,none,,99.5,none,1.5,0.0005,16,adam,0.0,0.0,0,0.0,2026
5,s005_A_core128_0p5_40p0_w1p5_baseline_window_mean_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,0.5,40.0,fir,baseline_window_mean,none,none,none,,99.5,train_channel_zscore,1.5,0.0003,16,adam,0.0,0.0,0,0.0,2026
6,s006_A_core128_0p5_40p0_w2p0_none_none_lr0.0005,A_core128,stratified_kfold,128,True,0.5,40.0,fir,none,none,none,none,,99.5,none,2.0,0.0005,16,adam,0.0,0.0,0,0.0,2026
7,s007_A_core128_0p5_40p0_w2p0_none_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,0.5,40.0,fir,none,none,none,none,,99.5,train_channel_zscore,2.0,0.0003,16,adam,0.0,0.0,0,0.0,2026
8,s008_A_core128_0p5_40p0_w2p0_trial_mean_none_lr0.0005,A_core128,stratified_kfold,128,True,0.5,40.0,fir,trial_mean,none,none,none,,99.5,none,2.0,0.0005,16,adam,0.0,0.0,0,0.0,2026
9,s009_A_core128_0p5_40p0_w2p0_trial_mean_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,0.5,40.0,fir,trial_mean,none,none,none,,99.5,train_channel_zscore,2.0,0.0003,16,adam,0.0,0.0,0,0.0,2026
