method,subject_id,accuracy,balanced_accuracy,f1,confusion_matrix
augmented_covariance,sub-01,0.425,0.425,0.46511627906976744,"[[7, 13], [10, 10]]"
augmented_covariance,sub-02,0.45,0.45,0.42105263157894735,"[[10, 10], [12, 8]]"
augmented_covariance,sub-03,0.475,0.475,0.4878048780487805,"[[9, 11], [10, 10]]"
augmented_covariance,sub-04,0.55,0.55,0.5,"[[13, 7], [11, 9]]"
augmented_covariance,sub-05,0.55,0.55,0.5263157894736842,"[[12, 8], [10, 10]]"
augmented_covariance,sub-06,0.325,0.325,0.2702702702702703,"[[8, 12], [15, 5]]"
augmented_covariance,sub-07,0.7,0.7,0.7142857142857143,"[[13, 7], [5, 15]]"
augmented_covariance,sub-08,0.425,0.42500000000000004,0.41025641025641024,"[[9, 11], [12, 8]]"
augmented_covariance,sub-09,0.35,0.35,0.4090909090909091,"[[5, 15], [11, 9]]"
augmented_covariance,sub-10,0.55,0.55,0.5714285714285714,"[[10, 10], [8, 12]]"
augmented_covariance,sub-11,0.725,0.725,0.717948717948718,"[[15, 5], [6, 14]]"
augmented_covariance,sub-12,0.35,0.35,0.35,"[[7, 13], [13, 7]]"
augmented_covariance,sub-13,0.525,0.525,0.5365853658536586,"[[10, 10], [9, 11]]"
augmented_covariance,sub-14,0.35,0.35,0.23529411764705882,"[[10, 10], [16, 4]]"
augmented_covariance,sub-15,0.4,0.4,0.4,"[[8, 12], [12, 8]]"
augmented_covariance,sub-16,0.5,0.5,0.5238095238095238,"[[9, 11], [9, 11]]"
augmented_covariance,sub-17,0.525,0.525,0.5128205128205128,"[[11, 9], [10, 10]]"
augmented_covariance,sub-18,0.45,0.45,0.42105263157894735,"[[10, 10], [12, 8]]"
augmented_covariance,sub-19,0.475,0.475,0.4878048780487805,"[[9, 11], [10, 10]]"
augmented_covariance,sub-20,0.75,0.75,0.7619047619047619,"[[14, 6], [4, 16]]"
augmented_covariance,sub-21,0.475,0.475,0.4878048780487805,"[[9, 11], [10, 10]]"
augmented_covariance,sub-22,0.775,0.7749999999999999,0.7272727272727273,"[[19, 1], [8, 12]]"
augmented_covariance,sub-23,0.775,0.775,0.7692307692307693,"[[16, 4], [5, 15]]"
augmented_covariance,sub-24,0.35,0.35,0.4090909090909091,"[[5, 15], [11, 9]]"
augmented_covariance,sub-25,0.625,0.625,0.6341463414634146,"[[12, 8], [7, 13]]"
augmented_covariance,sub-26,0.5,0.5,0.47368421052631576,"[[11, 9], [11, 9]]"
augmented_covariance,sub-27,0.5,0.5,0.5,"[[10, 10], [10, 10]]"
augmented_covariance,sub-28,0.8,0.8,0.8,"[[16, 4], [4, 16]]"
augmented_covariance,sub-29,0.725,0.7250000000000001,0.7027027027027027,"[[16, 4], [7, 13]]"
augmented_covariance,sub-30,0.475,0.47500000000000003,0.5116279069767442,"[[8, 12], [9, 11]]"
augmented_covariance,sub-31,0.275,0.275,0.21621621621621623,"[[7, 13], [16, 4]]"
augmented_covariance,sub-32,0.375,0.375,0.4186046511627907,"[[6, 14], [11, 9]]"
augmented_covariance,sub-33,0.4,0.4,0.4,"[[8, 12], [12, 8]]"
augmented_covariance,sub-34,0.35,0.35,0.3157894736842105,"[[8, 12], [14, 6]]"
augmented_covariance,sub-35,0.275,0.275,0.32558139534883723,"[[4, 16], [13, 7]]"
augmented_covariance,sub-36,0.475,0.475,0.46153846153846156,"[[10, 10], [11, 9]]"
augmented_covariance,sub-37,0.675,0.675,0.6486486486486487,"[[15, 5], [8, 12]]"
augmented_covariance,sub-38,0.65,0.65,0.65,"[[13, 7], [7, 13]]"
augmented_covariance,sub-39,0.5,0.5,0.5238095238095238,"[[9, 11], [9, 11]]"
augmented_covariance,sub-40,0.825,0.825,0.8205128205128205,"[[17, 3], [4, 16]]"
augmented_covariance,sub-41,0.55,0.55,0.5714285714285714,"[[10, 10], [8, 12]]"
augmented_covariance,sub-42,0.45,0.45,0.45,"[[9, 11], [11, 9]]"
augmented_covariance,sub-43,0.525,0.525,0.4864864864864865,"[[12, 8], [11, 9]]"
augmented_covariance,sub-44,0.725,0.725,0.7317073170731707,"[[14, 6], [5, 15]]"
augmented_covariance,sub-45,0.65,0.6499999999999999,0.6666666666666666,"[[12, 8], [6, 14]]"
augmented_covariance,sub-46,0.6,0.6000000000000001,0.5789473684210527,"[[13, 7], [9, 11]]"
augmented_covariance,sub-47,0.475,0.47500000000000003,0.5116279069767442,"[[8, 12], [9, 11]]"
augmented_covariance,sub-48,0.25,0.25,0.21052631578947367,"[[6, 14], [16, 4]]"
augmented_covariance,sub-49,0.475,0.47500000000000003,0.43243243243243246,"[[11, 9], [12, 8]]"
augmented_covariance,sub-50,0.525,0.525,0.4864864864864865,"[[12, 8], [11, 9]]"
standard_covariance,sub-01,0.475,0.47500000000000003,0.5116279069767442,"[[8, 12], [9, 11]]"
standard_covariance,sub-02,0.45,0.45,0.45,"[[9, 11], [11, 9]]"
standard_covariance,sub-03,0.55,0.55,0.5714285714285714,"[[10, 10], [8, 12]]"
standard_covariance,sub-04,0.375,0.375,0.32432432432432434,"[[9, 11], [14, 6]]"
standard_covariance,sub-05,0.575,0.575,0.5641025641025641,"[[12, 8], [9, 11]]"
standard_covariance,sub-06,0.375,0.375,0.32432432432432434,"[[9, 11], [14, 6]]"
standard_covariance,sub-07,0.775,0.775,0.7804878048780488,"[[15, 5], [4, 16]]"
standard_covariance,sub-08,0.475,0.475,0.4,"[[12, 8], [13, 7]]"
standard_covariance,sub-09,0.325,0.32499999999999996,0.34146341463414637,"[[6, 14], [13, 7]]"
standard_covariance,sub-10,0.6,0.6,0.6,"[[12, 8], [8, 12]]"
standard_covariance,sub-11,0.675,0.675,0.6829268292682927,"[[13, 7], [6, 14]]"
standard_covariance,sub-12,0.4,0.4,0.4,"[[8, 12], [12, 8]]"
standard_covariance,sub-13,0.5,0.5,0.5454545454545454,"[[8, 12], [8, 12]]"
standard_covariance,sub-14,0.375,0.375,0.32432432432432434,"[[9, 11], [14, 6]]"
standard_covariance,sub-15,0.525,0.525,0.5365853658536586,"[[10, 10], [9, 11]]"
standard_covariance,sub-16,0.525,0.525,0.5128205128205128,"[[11, 9], [10, 10]]"
standard_covariance,sub-17,0.525,0.525,0.5365853658536586,"[[10, 10], [9, 11]]"
standard_covariance,sub-18,0.475,0.47500000000000003,0.43243243243243246,"[[11, 9], [12, 8]]"
standard_covariance,sub-19,0.45,0.45,0.45,"[[9, 11], [11, 9]]"
standard_covariance,sub-20,0.825,0.825,0.8205128205128205,"[[17, 3], [4, 16]]"
standard_covariance,sub-21,0.525,0.525,0.5365853658536586,"[[10, 10], [9, 11]]"
standard_covariance,sub-22,0.625,0.625,0.5454545454545454,"[[16, 4], [11, 9]]"
standard_covariance,sub-23,0.775,0.775,0.7692307692307693,"[[16, 4], [5, 15]]"
standard_covariance,sub-24,0.5,0.5,0.5652173913043478,"[[7, 13], [7, 13]]"
standard_covariance,sub-25,0.55,0.55,0.5714285714285714,"[[10, 10], [8, 12]]"
standard_covariance,sub-26,0.625,0.625,0.6511627906976745,"[[11, 9], [6, 14]]"
standard_covariance,sub-27,0.45,0.45,0.42105263157894735,"[[10, 10], [12, 8]]"
standard_covariance,sub-28,0.775,0.775,0.7804878048780488,"[[15, 5], [4, 16]]"
standard_covariance,sub-29,0.45,0.45,0.45,"[[9, 11], [11, 9]]"
standard_covariance,sub-30,0.5,0.5,0.5454545454545454,"[[8, 12], [8, 12]]"
standard_covariance,sub-31,0.45,0.45,0.3888888888888889,"[[11, 9], [13, 7]]"
standard_covariance,sub-32,0.425,0.425,0.46511627906976744,"[[7, 13], [10, 10]]"
standard_covariance,sub-33,0.45,0.44999999999999996,0.5217391304347826,"[[6, 14], [8, 12]]"
standard_covariance,sub-34,0.35,0.35,0.35,"[[7, 13], [13, 7]]"
standard_covariance,sub-35,0.325,0.32499999999999996,0.34146341463414637,"[[6, 14], [13, 7]]"
standard_covariance,sub-36,0.325,0.32499999999999996,0.3076923076923077,"[[7, 13], [14, 6]]"
standard_covariance,sub-37,0.75,0.75,0.7619047619047619,"[[14, 6], [4, 16]]"
standard_covariance,sub-38,0.575,0.575,0.5641025641025641,"[[12, 8], [9, 11]]"
standard_covariance,sub-39,0.4,0.4,0.3684210526315789,"[[9, 11], [13, 7]]"
standard_covariance,sub-40,0.8,0.8,0.8,"[[16, 4], [4, 16]]"
standard_covariance,sub-41,0.625,0.625,0.6341463414634146,"[[12, 8], [7, 13]]"
standard_covariance,sub-42,0.575,0.575,0.5641025641025641,"[[12, 8], [9, 11]]"
standard_covariance,sub-43,0.5,0.5,0.5,"[[10, 10], [10, 10]]"
standard_covariance,sub-44,0.65,0.65,0.6818181818181818,"[[11, 9], [5, 15]]"
standard_covariance,sub-45,0.625,0.625,0.6153846153846154,"[[13, 7], [8, 12]]"
standard_covariance,sub-46,0.5,0.5,0.4444444444444444,"[[12, 8], [12, 8]]"
